ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PFD,CAND_IND9,CAND_IND10,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
15,MEXICO,24,NEZAHUALCÓYOTL,118,261,4557,16040,24603,1851,976,1610,1947,10459,1598,3561,378,0,0,145,67580,3930,71655,153196,0.4677
15,MEXICO,25,NEZAHUALCÓYOTL,133,299,2225,17359,46859,1999,836,1040,1451,5734,1291,2340,350,0,0,81,81484,3055,84620,169518,0.4992
15,MEXICO,26,NEZAHUALCÓYOTL,134,273,3222,18027,31650,2210,911,1208,1531,6726,1375,2321,250,0,789,188,70220,3296,73704,150556,0.4895
15,MEXICO,27,CHALCO,210,779,11569,62692,51976,7137,4437,32636,6251,36589,0,14484,2118,0,0,252,229889,10625,240766,501969,0.4796
15,MEXICO,28,AMECAMECA,90,223,14261,29968,5227,1872,2210,7648,1400,6195,1407,6842,1934,0,0,43,78964,2856,81863,132999,0.6155
15,MEXICO,29,NAUCALPAN,244,563,38723,40009,8600,5975,2324,4403,4679,18831,4143,7664,719,0,0,219,136070,7334,143623,330219,0.4349
15,MEXICO,30,NAUCALPAN,187,506,50161,34400,5922,4998,1825,5068,3703,14498,3799,6704,929,0,0,253,132007,7158,139418,307376,0.4536
15,MEXICO,31,LA PAZ,254,940,9873,81637,46441,9921,5804,4692,7014,33711,5674,10300,1270,0,0,334,216337,9923,226594,607224,0.3732
15,MEXICO,32,NEZAHUALCÓYOTL,150,326,2694,18792,43735,2602,1239,1546,1692,7975,1845,2919,394,0,0,119,85433,3657,89209,187444,0.4759
15,MEXICO,33,ECATEPEC,296,859,26859,95446,25980,10681,6417,7379,8693,30553,7657,16162,1606,0,0,445,237433,12065,249943,540169,0.4627
15,MEXICO,34,IXTAPAN DE LA SAL,72,178,11936,31213,10304,960,3199,1867,1100,2154,0,959,447,0,0,26,64139,2202,66367,98598,0.6731
15,MEXICO,35,METEPEC,92,294,22929,35890,3264,2649,10961,3834,5041,8047,3077,5007,835,0,0,190,101534,4827,106551,183924,0.5793
15,MEXICO,36,VILLA DEL CARBÓN,104,314,26343,27507,10390,2246,2087,16485,2880,5442,3161,3677,1279,0,0,93,101497,3276,104866,196492,0.5337
15,MEXICO,37,TLALNEPANTLA,188,492,23487,34349,14412,4689,3406,3464,3497,14894,4066,6772,812,0,0,332,113848,6447,120627,294813,0.4092
15,MEXICO,38,COACALCO,289,886,30671,65543,40181,11439,7245,15940,8502,32705,8248,17310,1694,0,0,522,239478,12059,252059,555036,0.4541
15,MEXICO,39,OTUMBA,121,341,31330,48070,12978,2335,8337,3096,2804,8494,1746,4817,416,0,0,73,124423,3739,128235,205586,0.6238
15,MEXICO,40,IXTAPALUCA,296,725,12595,70859,52600,6311,2383,3966,4688,21316,6100,14024,1122,0,0,263,195964,8577,204804,434339,0.4715
15,MEXICO,41,NEZAHUALCÓYOTL,135,297,1893,16196,39856,2678,754,1454,1814,6444,1835,2716,297,0,0,110,75937,3192,79239,165752,0.4781
15,MEXICO,42,ECATEPEC,184,448,8288,37039,17301,4612,2769,2742,5208,15744,3284,7111,599,0,0,193,104697,6416,111306,260354,0.4275
15,MEXICO,43,CUAUTITLÁN IZCALLI,258,645,51390,45527,9793,5829,6254,7341,7722,24172,7220,14451,1585,0,0,372,181284,9522,191178,385869,0.4954
15,MEXICO,44,NICOLÁS ROMERO,115,441,34667,44964,7896,4267,2359,5848,7059,14203,4490,5288,732,0,0,126,131773,4725,136624,281868,0.4847
15,MEXICO,45,ZINACANTEPEC,104,347,22367,38303,8742,4522,11562,6774,6366,5294,4128,4100,2112,0,0,108,114270,4894,119272,215347,0.5539
