MUNICIPIO,DISTRITO,SECCION,TIPO,LISTANOMINAL,PAN,PRI-PANAL,PRD,PT,PVEM,PC,PSD,VALIDOS,NULOS,TOTAL
CAMPECHE,III,32,B,426,149,114,14,2,13,0,1,293,11,304
CAMPECHE,III,32,C1,426,141,117,12,2,5,6,1,284,0,284
CAMPECHE,III,33,B,463,118,131,8,4,5,6,2,274,10,284
CAMPECHE,III,33,C1,464,147,112,17,1,4,3,0,284,7,291
CAMPECHE,III,34,B,595,166,144,18,2,8,12,0,350,0,350
CAMPECHE,III,34,C1,596,170,149,14,5,5,4,2,349,13,362
CAMPECHE,III,35,B,438,113,133,4,2,4,4,1,261,6,267
CAMPECHE,III,35,C1,438,150,105,12,2,7,6,1,283,6,289
CAMPECHE,III,36,B,549,207,130,5,1,7,3,0,353,9,362
CAMPECHE,III,36,C1,550,200,104,8,5,8,0,0,325,14,339
CAMPECHE,III,37,B,400,142,93,7,1,2,1,0,246,5,251
CAMPECHE,III,37,C1,400,138,100,5,2,4,1,1,251,5,256
,,,,,,,,,,,,,,
CAMPECHE,III,38,B,377,117,103,7,4,5,1,0,237,4,241
CAMPECHE,III,38,C1,377,122,87,10,1,5,6,0,231,0,231
CAMPECHE,VI,39,B,623,220,139,16,1,12,10,2,400,20,420
CAMPECHE,VI,39,C1,624,214,159,5,4,4,3,1,390,11,401
CAMPECHE,VI,39,C2,624,204,138,9,4,7,5,0,367,9,376
CAMPECHE,III,40,B,383,115,107,9,2,4,8,0,245,9,254
CAMPECHE,III,40,C1,384,135,98,8,2,6,7,0,256,5,261
CAMPECHE,III,41,B,381,137,82,6,1,5,5,0,236,12,248
CAMPECHE,III,41,C1,382,125,117,11,0,6,2,1,262,10,272
CAMPECHE,III,42,B,563,182,135,10,7,6,7,1,348,15,363
CAMPECHE,III,42,C1,563,188,175,16,2,8,6,0,395,0,395
CAMPECHE,III,43,B,519,194,134,4,1,13,6,1,353,8,361
CAMPECHE,III,43,C1,519,125,146,10,1,5,5,1,293,69,362
CAMPECHE,III,44,B,437,155,100,8,1,8,5,0,277,10,287
CAMPECHE,III,44,C1,437,142,93,14,3,8,5,3,268,7,275
CAMPECHE,III,45,B,407,135,100,14,1,2,0,2,254,14,268
CAMPECHE,III,45,C1,407,146,106,5,5,9,8,1,280,8,288
CAMPECHE,II,46,B,530,161,141,11,3,8,7,0,331,14,345
CAMPECHE,II,46,C1,531,181,170,10,1,5,3,4,374,7,381
CAMPECHE,II,47,B,469,175,153,10,5,12,5,2,362,0,362
CAMPECHE,II,47,C1,470,168,151,18,2,7,7,0,353,9,362
CAMPECHE,I,48,B,520,140,187,13,4,5,6,0,355,2,357
CAMPECHE,I,48,C1,521,186,159,13,4,5,6,0,373,7,380
CAMPECHE,I,49,B,574,198,174,8,2,8,3,1,394,8,402
CAMPECHE,I,49,C1,575,221,127,11,4,9,9,0,381,4,385
CAMPECHE,I,50,B,411,105,133,10,2,9,6,2,267,4,271
CAMPECHE,I,50,C1,412,102,131,14,2,5,7,4,265,7,272
,,,,,,,,,,,,,,
CAMPECHE,IV,51,B,574,176,186,15,3,6,9,0,395,12,407
CAMPECHE,IV,51,C1,574,198,199,14,0,10,2,1,424,5,429
CAMPECHE,IV,52,B,407,129,139,6,1,3,4,0,282,7,289
CAMPECHE,IV,52,C1,408,134,140,9,1,5,2,2,293,7,300
CAMPECHE,IV,53,B,612,217,204,16,1,10,8,0,456,8,464
CAMPECHE,IV,53,C1,612,198,213,12,2,9,11,3,448,6,454
CAMPECHE,V,54,B,479,128,163,15,6,12,4,5,333,15,348
CAMPECHE,V,54,C1,480,163,152,12,2,6,1,2,338,15,353
CAMPECHE,IV,55,B,707,225,194,11,7,8,13,4,462,6,468
CAMPECHE,IV,55,C1,707,244,182,25,2,13,4,3,473,12,485
CAMPECHE,I,56,B,448,120,145,5,2,4,3,1,280,4,284
CAMPECHE,I,56,C1,449,130,152,11,2,5,1,1,302,13,315
CAMPECHE,I,57,B,529,183,158,11,2,6,9,1,370,4,374
CAMPECHE,I,57,C1,529,164,171,9,2,8,10,0,364,0,364
CAMPECHE,II,58,B,587,184,172,12,2,9,10,1,390,10,400
CAMPECHE,II,58,C1,587,197,153,8,1,9,9,1,378,11,389
CAMPECHE,II,59,B,531,176,151,9,5,11,11,0,363,5,368
CAMPECHE,II,59,C1,532,169,150,12,2,4,7,2,346,22,368
CAMPECHE,VI,60,B,505,178,115,10,6,4,11,0,324,8,332
CAMPECHE,VI,60,C1,505,163,153,9,10,3,9,2,349,8,357
CAMPECHE,VI,61,B,518,146,158,10,4,7,3,4,332,13,345
CAMPECHE,VI,61,C1,518,154,135,8,2,5,2,0,306,8,314
CAMPECHE,VI,62,B,504,170,124,8,1,0,4,0,307,9,316
CAMPECHE,VI,62,C1,505,136,140,7,3,5,1,1,293,17,310
CAMPECHE,VI,63,B,654,185,193,20,3,5,8,0,414,8,422
CAMPECHE,VI,63,C1,655,253,169,19,5,5,6,0,457,0,457
CAMPECHE,VI,64,B,573,207,156,8,1,10,4,1,387,4,391
,,,,,,,,,,,,,,
CAMPECHE,VI,64,C1,573,208,155,16,4,10,0,1,394,9,403
CAMPECHE,VI,65,B,537,191,110,7,4,5,3,1,321,7,328
CAMPECHE,VI,65,C1,538,183,119,4,0,7,2,3,318,6,324
CAMPECHE,VI,65,C2,538,174,135,7,1,4,2,1,324,11,335
CAMPECHE,VI,66,B,527,167,159,4,4,9,4,4,351,12,363
CAMPECHE,VI,66,C1,528,194,130,6,5,8,4,0,347,0,347
CAMPECHE,VI,67,B,500,178,117,12,9,5,4,1,326,13,339
CAMPECHE,VI,67,C1,500,171,112,4,3,7,3,0,300,14,314
CAMPECHE,VI,68,B,552,186,149,9,5,6,6,0,361,0,361
CAMPECHE,VI,68,C1,553,184,133,12,3,11,8,0,351,15,366
CAMPECHE,VI,69,B,500,154,162,12,2,8,3,2,343,11,354
CAMPECHE,VI,69,C1,500,141,175,7,0,10,2,2,337,8,345
CAMPECHE,VI,70,B,577,198,194,12,3,9,5,2,423,7,430
CAMPECHE,VI,70,C1,578,199,174,18,1,12,6,1,411,7,418
CAMPECHE,IV,71,B,535,174,156,12,4,7,4,2,359,13,372
CAMPECHE,IV,71,C1,536,150,186,12,3,7,12,2,372,7,379
CAMPECHE,V,72,B,660,202,243,10,1,10,8,2,476,3,479
CAMPECHE,V,72,C1,661,196,231,10,2,9,2,0,450,9,459
CAMPECHE,V,73,B,607,158,174,11,2,5,3,2,355,7,362
CAMPECHE,V,73,C1,608,195,140,7,2,10,0,2,356,9,365
CAMPECHE,V,73,S,250,22,21,3,0,1,0,0,47,1,48
CAMPECHE,V,74,B,721,186,220,9,4,10,10,3,442,21,463
CAMPECHE,V,74,C1,721,224,210,14,6,24,14,3,495,9,504
CAMPECHE,IV,75,B,575,192,146,20,2,3,2,4,369,9,378
CAMPECHE,IV,75,C1,576,174,160,13,2,8,4,2,363,13,376
CAMPECHE,IV,75,C2,576,184,154,13,4,10,8,0,373,15,388
CAMPECHE,IV,76,B,519,141,163,13,4,5,6,0,332,7,339
,,,,,,,,,,,,,,
CAMPECHE,IV,76,C1,519,144,196,20,4,8,5,5,382,10,392
CAMPECHE,VI,77,B,495,172,162,6,4,12,5,2,363,5,368
CAMPECHE,VI,77,C1,495,155,177,8,4,9,3,3,359,6,365
CAMPECHE,VI,78,B,457,155,118,8,4,9,4,1,299,9,308
CAMPECHE,VI,78,C1,458,164,101,12,2,12,1,0,292,17,309
CAMPECHE,VI,79,B,720,248,128,11,0,11,4,4,406,7,413
CAMPECHE,VI,79,C1,720,251,142,10,3,11,4,1,422,5,427
CAMPECHE,VI,79,C2,721,262,130,10,1,8,4,1,416,5,421
CAMPECHE,VI,79,C3,721,236,116,13,2,9,3,0,379,3,382
CAMPECHE,VI,79,E1,709,236,154,12,6,9,6,0,423,5,428
CAMPECHE,VI,79,E1 C1,710,225,151,13,3,6,7,0,405,7,412
CAMPECHE,VI,80,B,437,125,146,11,2,11,4,1,300,12,312
CAMPECHE,VI,80,C1,437,137,138,7,3,9,10,0,304,0,304
CAMPECHE,VI,81,B,737,213,206,10,1,12,9,1,452,12,464
CAMPECHE,VI,81,C1,737,257,150,20,1,8,7,0,443,6,449
CAMPECHE,VI,81,C2,737,253,189,13,3,9,5,0,472,0,472
CAMPECHE,VI,81,C3,737,222,177,24,3,16,8,2,452,0,452
CAMPECHE,VI,81,C4,737,250,168,15,5,9,3,0,450,5,455
CAMPECHE,VI,81,C5,737,231,144,12,1,6,1,0,395,0,395
CAMPECHE,VI,81,C6,737,231,163,16,1,7,5,2,425,4,429
CAMPECHE,VI,81,C7,737,216,208,21,3,14,3,1,466,6,472
CAMPECHE,VI,81,C8,737,244,156,10,1,8,7,3,429,7,436
CAMPECHE,VI,81,C9,737,238,162,12,3,8,3,0,426,7,433
CAMPECHE,VI,81,C10,737,251,145,10,4,9,5,4,428,26,454
CAMPECHE,VI,82,B,559,176,166,13,2,6,1,1,365,6,371
CAMPECHE,VI,82,C1,560,197,154,10,5,15,4,2,387,4,391
CAMPECHE,VI,83,B,661,244,130,17,3,4,4,5,407,2,409
,,,,,,,,,,,,,,
CAMPECHE,VI,83,C1,661,223,151,10,1,8,2,2,397,8,405
CAMPECHE,VI,83,C2,662,228,140,7,6,10,4,2,397,16,413
CAMPECHE,VI,83,C3,662,221,121,11,5,6,5,1,370,13,383
CAMPECHE,VI,83,C4,662,230,148,10,3,7,8,3,409,9,418
CAMPECHE,VI,83,C5,662,239,134,14,0,5,7,4,403,0,403
CAMPECHE,VI,84,B,409,135,126,1,2,2,5,0,271,2,273
CAMPECHE,VI,84,C1,410,121,129,5,2,7,4,0,268,7,275
CAMPECHE,VI,85,B,519,158,150,5,6,5,5,1,330,11,341
CAMPECHE,VI,85,C1,519,165,124,6,6,12,2,2,317,8,325
CAMPECHE,VI,86,B,540,177,197,10,1,12,6,2,405,6,411
CAMPECHE,VI,86,C1,540,174,220,19,2,10,12,2,439,6,445
CAMPECHE,IV,87,B,484,176,138,15,2,9,5,0,345,10,355
CAMPECHE,IV,87,C1,485,171,133,17,1,6,9,5,342,7,349
CAMPECHE,V,88,B,695,200,258,9,2,10,7,0,486,3,489
CAMPECHE,V,89,B,516,155,190,4,1,4,7,2,363,6,369
CAMPECHE,V,89,C1,517,175,173,5,3,5,7,0,368,0,368
CAMPECHE,V,90,B,562,176,164,17,0,16,4,0,377,11,388
CAMPECHE,V,90,C1,562,144,153,9,5,8,16,0,335,0,335
CAMPECHE,V,90,C2,563,197,147,16,4,5,5,4,378,7,385
CAMPECHE,IV,91,B,717,218,149,43,4,6,3,1,424,12,436
CAMPECHE,IV,91,C1,718,228,151,32,5,8,5,1,430,10,440
CAMPECHE,VI,92,B,531,149,219,5,1,8,5,0,387,1,388
CAMPECHE,VI,92,C1,532,162,211,10,1,8,3,0,395,4,399
CAMPECHE,VI,92,S,250,34,30,2,0,2,1,0,69,1,70
CAMPECHE,VI,93,B,524,178,202,4,0,12,9,1,406,0,406
CAMPECHE,VI,93,C1,525,185,180,6,0,22,4,0,397,5,402
CAMPECHE,VI,94,B,568,200,169,15,3,7,1,0,395,8,403
,,,,,,,,,,,,,,
CAMPECHE,VI,94,C1,569,222,140,15,9,7,5,0,398,13,411
CAMPECHE,VI,95,B,578,171,118,12,8,4,2,1,316,22,338
CAMPECHE,VI,95,C1,578,197,116,9,5,6,3,0,336,16,352
CAMPECHE,VI,96,B,555,161,133,2,5,5,2,1,309,18,327
CAMPECHE,VI,96,C1,555,193,127,6,5,6,3,1,341,8,349
CAMPECHE,VI,97,B,577,196,113,7,8,9,2,0,335,15,350
CAMPECHE,VI,97,C1,577,169,149,5,6,6,4,1,340,15,355
CAMPECHE,VI,98,B,432,124,168,6,0,9,3,1,311,7,318
CAMPECHE,VI,98,C1,433,133,133,13,1,7,8,1,296,14,310
CAMPECHE,IV,99,B,560,135,127,51,6,7,4,0,330,16,346
CAMPECHE,IV,99,C1,561,156,132,68,2,5,1,1,365,13,378
CAMPECHE,V,100,B,664,203,167,10,3,11,3,0,397,3,400
CAMPECHE,V,100,C1,664,183,186,10,2,8,0,0,389,7,396
CAMPECHE,V,100,C2,664,175,195,9,3,7,4,1,394,12,406
CAMPECHE,V,101,B,722,229,185,13,8,7,7,0,449,8,457
CAMPECHE,V,101,C1,722,252,190,11,6,16,3,0,478,12,490
CAMPECHE,V,101,C2,723,245,153,15,4,12,2,3,434,0,434
CAMPECHE,IV,102,B,700,212,164,23,7,9,8,2,425,20,445
CAMPECHE,IV,102,C1,700,194,212,25,3,13,5,2,454,0,454
CAMPECHE,IV,103,B,577,160,131,25,4,11,5,3,339,11,350
CAMPECHE,IV,103,C1,577,162,144,30,2,5,5,3,351,9,360
CAMPECHE,VI,104,B,426,145,122,12,3,9,2,1,294,4,298
CAMPECHE,VI,104,C1,426,126,139,18,3,7,3,2,298,7,305
CAMPECHE,VI,105,B,686,210,147,5,0,12,8,0,382,4,386
CAMPECHE,VI,105,C1,687,238,146,11,3,5,3,1,407,2,409
CAMPECHE,VI,105,C2,687,244,126,14,1,8,4,0,397,20,417
CAMPECHE,VI,105,C3,687,222,136,7,2,8,2,1,378,5,383
,,,,,,,,,,,,,,
CAMPECHE,VI,105,C4,687,245,122,9,2,8,3,1,390,0,390
CAMPECHE,VI,105,C5,687,229,156,11,4,4,1,2,407,3,410
CAMPECHE,VI,105,C6,687,230,152,8,4,3,2,1,400,6,406
CAMPECHE,VI,106,B,571,188,173,19,5,11,13,1,410,5,415
CAMPECHE,VI,106,C1,572,192,197,14,5,6,6,0,420,14,434
CAMPECHE,IV,107,B,631,215,129,17,3,7,4,3,378,12,390
CAMPECHE,IV,107,C1,631,173,138,14,8,8,9,3,353,17,370
CAMPECHE,IV,108,B,624,160,136,12,2,7,4,2,323,17,340
CAMPECHE,IV,108,C1,624,190,137,16,3,13,8,0,367,7,374
CAMPECHE,IV,108,C2,624,171,137,8,3,11,14,6,350,18,368
CAMPECHE,IV,108,C3,624,198,132,6,0,6,10,0,352,9,361
CAMPECHE,V,109,B,528,166,160,8,6,7,2,2,351,8,359
CAMPECHE,V,109,C1,528,142,139,5,1,1,3,1,292,23,315
CAMPECHE,V,109,C2,529,177,152,7,6,5,3,0,350,0,350
CAMPECHE,VII,110,B,549,187,155,5,2,15,5,2,371,10,381
CAMPECHE,VII,110,C1,549,178,147,13,2,7,4,2,353,11,364
CAMPECHE,V,111,B,721,237,178,5,4,11,2,0,437,13,450
CAMPECHE,V,111,C1,721,240,190,10,4,7,0,4,455,0,455
CAMPECHE,IV,112,B,614,189,137,6,4,11,0,7,354,13,367
CAMPECHE,IV,112,C1,614,178,135,11,3,9,1,5,342,11,353
CAMPECHE,IV,112,C2,614,196,131,6,3,7,2,3,348,10,358
CAMPECHE,IV,112,C3,614,167,137,17,1,5,2,9,338,13,351
CAMPECHE,VII,113,B,475,178,134,13,2,6,1,0,334,6,340
CAMPECHE,VII,113,C1,475,170,138,7,0,4,0,0,319,0,319
CAMPECHE,VII,114,B,561,228,134,13,5,4,7,1,392,12,404
CAMPECHE,VII,114,C1,562,234,136,4,1,8,3,0,386,13,399
CAMPECHE,VII,115,B,425,129,127,5,2,4,4,2,273,6,279
,,,,,,,,,,,,,,
CAMPECHE,VII,115,C1,425,112,130,7,2,2,5,1,259,7,266
CAMPECHE,VII,116,B,505,135,182,7,3,5,6,0,338,7,345
CAMPECHE,VII,116,C1,505,147,187,0,0,6,0,2,342,8,350
CAMPECHE,VII,117,B,606,156,199,4,4,3,2,1,369,8,377
CAMPECHE,VII,117,C1,606,186,190,10,5,5,4,1,401,0,401
CAMPECHE,VII,118,B,388,121,130,0,1,25,0,0,277,12,289
CAMPECHE,VII,118,C1,389,133,120,1,1,22,1,0,278,15,293
CAMPECHE,VII,119,B,302,123,101,9,0,15,2,0,250,0,250
CAMPECHE,VII,120,B,590,173,223,20,2,23,13,0,454,12,466
CAMPECHE,VII,121,B,669,300,135,4,1,10,5,1,456,0,456
CAMPECHE,VII,122,B,397,125,128,9,0,4,3,4,273,6,279
CAMPECHE,VII,122,C1,397,127,138,10,3,5,1,6,290,8,298
CAMPECHE,VII,123,B,590,271,179,1,1,9,0,1,462,9,471
CAMPECHE,VII,124,B,405,138,142,1,3,2,1,0,287,5,292
CAMPECHE,VII,124,C1,406,170,150,1,0,2,2,0,325,0,325
CAMPECHE,VII,125,B,628,225,157,1,2,6,2,1,394,23,417
CAMPECHE,VII,125,C1,628,218,174,4,3,6,2,0,407,18,425
CAMPECHE,VII,126,B,539,182,153,5,5,5,3,2,355,0,355
CAMPECHE,VII,126,C1,540,197,132,10,2,3,2,1,347,8,355
CAMPECHE,VII,126,C2,540,186,139,1,1,6,1,0,334,15,349
CAMPECHE,VII,127,B,436,150,134,6,2,1,1,2,296,0,296
CAMPECHE,VII,127,C1,437,135,132,6,1,4,2,0,280,16,296
CAMPECHE,VII,128,B,174,70,60,1,1,1,0,0,133,3,136
CAMPECHE,VII,129,B,583,202,224,5,1,2,4,1,439,31,470
CAMPECHE,VII,129,C1,584,214,211,11,5,3,2,1,447,16,463
CAMPECHE,VII,130,B,343,119,124,3,0,1,1,0,248,11,259
CAMPECHE,VII,131,B,195,78,75,7,0,2,0,1,163,3,166
,,,,,,,,,,,,,,
CAMPECHE,VII,132,B,140,65,41,1,0,0,0,0,107,4,111
CAMPECHE,VII,133,B,415,196,140,3,0,2,2,0,343,0,343
CAMPECHE,VII,134,B,322,114,118,0,0,1,0,0,233,4,237
CAMPECHE,VII,135,B,613,320,182,0,0,1,1,0,504,6,510
CAMPECHE,VII,136,B,166,54,74,0,2,2,3,0,135,3,138
CAMPECHE,VII,137,B,154,71,40,2,1,1,0,0,115,5,120
CAMPECHE,VII,138,B,409,149,167,0,1,1,4,2,324,12,336
CAMPECHE,VII,139,B,726,176,173,7,4,1,6,1,368,12,380
CAMPECHE,VII,139,C1,726,186,163,2,6,3,5,1,366,0,366
CAMPECHE,VII,139,C2,726,178,156,13,4,8,4,1,364,0,364
CAMPECHE,VII,140,B,504,166,95,9,2,1,2,0,275,2,277
CAMPECHE,VII,140,C1,504,141,101,8,0,3,1,0,254,2,256
CAMPECHE,VII,141,B,463,160,84,16,2,2,3,1,268,13,281
CAMPECHE,VII,141,C1,464,145,95,6,1,2,2,0,251,3,254
CAMPECHE,VII,142,B,687,267,207,8,1,5,1,0,489,21,510
CAMPECHE,VII,142,C1,688,271,193,3,2,2,0,0,471,7,478
CAMPECHE,VII,142,C2,688,247,215,2,0,1,2,0,467,7,474
CAMPECHE,VII,143,B,306,123,65,1,3,0,1,0,193,2,195
CAMPECHE,VII,144,B,188,79,43,0,0,1,2,0,125,2,127
CAMPECHE,VII,145,B,384,82,124,4,0,0,0,1,211,2,213
CAMPECHE,VII,145,C1,385,94,106,1,0,0,0,0,201,7,208
CAMPECHE,VII,146,B,363,178,106,3,0,0,2,0,289,2,291
,,,,,,,,,,,,,,
CALKINÍ,XVII,147,B,630,205,186,14,11,15,6,0,437,17,454
CALKINÍ,XVII,147,C1,630,207,192,10,13,14,6,0,442,12,454
CALKINÍ,XVII,148,B,516,160,156,4,16,10,6,0,352,7,359
CALKINÍ,XVII,148,C1,517,169,135,11,25,13,4,0,357,0,357
CALKINÍ,XVII,149,B,508,222,168,4,7,7,2,0,410,11,421
CALKINÍ,XVII,149,C1,509,191,162,6,4,6,3,0,372,12,384
CALKINÍ,XVII,150,B,396,114,143,7,7,8,1,0,280,11,291
CALKINÍ,XVII,150,C1,397,142,122,9,2,5,6,0,286,8,294
CALKINÍ,XVII,151,B,731,268,205,3,11,25,15,0,527,14,541
CALKINÍ,XVII,151,S,250,22,16,1,2,1,2,0,44,1,45
CALKINÍ,XVII,152,B,512,183,140,4,11,8,5,0,351,13,364
CALKINÍ,XVII,152,C1,513,159,173,6,6,11,8,0,363,13,376
CALKINÍ,XVII,153,B,488,148,174,1,7,5,2,0,337,12,349
CALKINÍ,XVII,153,C1,489,164,149,9,13,10,5,0,350,9,359
CALKINÍ,XVII,154,B,680,239,186,10,14,12,4,0,465,20,485
CALKINÍ,XVII,154,C1,681,230,187,3,15,13,5,0,453,15,468
CALKINÍ,XVII,155,B,594,198,183,4,8,13,4,1,411,15,426
CALKINÍ,XVII,155,C1,594,205,167,10,11,15,9,0,417,16,433
CALKINÍ,XVII,156,B,715,270,183,5,11,11,19,0,499,22,521
CALKINÍ,XVII,157,B,615,202,223,12,9,42,2,0,490,9,499
CALKINÍ,XVII,158,B,706,207,229,22,36,48,18,0,560,27,587
CALKINÍ,XVII,159,B,738,179,281,7,6,10,2,0,485,8,493
CALKINÍ,XVII,160,B,750,263,259,11,4,6,5,0,548,9,557
CALKINÍ,XVII,161,B,413,141,125,9,5,9,1,0,290,9,299
CALKINÍ,XVII,161,C1,413,140,124,6,0,3,1,0,274,0,274
CALKINÍ,XVII,162,B,411,156,128,18,2,1,3,0,308,6,314
,,,,,,,,,,,,,,
CALKINÍ,XVII,162,C1,412,165,121,11,5,3,0,0,305,4,309
CALKINÍ,XVII,163,B,377,139,134,12,2,2,3,0,292,3,295
CALKINÍ,XVII,163,C1,377,123,145,9,1,6,1,0,285,6,291
CALKINÍ,XVII,164,B,384,88,172,6,4,1,7,1,279,5,284
CALKINÍ,XVII,164,C1,385,108,149,11,3,1,3,1,276,4,280
CALKINÍ,XVII,165,B,222,21,167,0,7,1,6,0,202,6,208
CALKINÍ,XVII,166,B,579,205,260,2,0,2,4,0,473,2,475
CALKINÍ,XVII,166,C1,580,239,246,4,0,2,3,0,494,7,501
CALKINÍ,XVII,166,C2,580,206,249,5,1,2,5,0,468,11,479
CALKINÍ,XVII,167,B,522,179,225,2,4,3,19,0,432,1,433
CALKINÍ,XVII,167,C1,522,153,237,1,6,1,14,2,414,0,414
CALKINÍ,XVII,168,B,545,224,203,0,2,1,2,0,432,7,439
CALKINÍ,XVII,168,C1,546,197,238,5,1,2,4,0,447,6,453
CALKINÍ,XVII,169,B,658,211,195,2,7,20,0,0,435,13,448
CALKINÍ,XVII,169,C1,658,197,261,3,18,14,2,0,495,11,506
CALKINÍ,XVII,170,B,410,162,149,1,10,4,9,0,335,9,344
CALKINÍ,XVII,170,C1,410,129,193,0,2,5,4,0,333,13,346
CALKINÍ,XVII,171,B,591,184,200,29,9,14,14,0,450,18,468
CALKINÍ,XVII,172,,,,,,,,,,,,
CALKINÍ,XVII,172,,,,,,,,,,,,
CALKINÍ,XVII,173,B,729,193,255,3,8,17,11,0,487,6,493
