ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,16,AXAPUSCO,20,33,1704,4486,230,2621,145,111,272,3721,188,145,38,15,5,0,122,112,4,10,13929,8,384,14321,17874,
15,MEXICO,17,AYAPANGO,5,9,161,1268,1232,61,90,102,51,1128,33,50,22,13,1,6,11,5,0,0,4234,24,114,4372,5683,
15,MEXICO,18,CALIMAYA,16,60,5892,5795,448,795,1214,346,592,9176,361,1459,60,33,9,0,109,50,14,36,26389,16,828,27233,37607,
15,MEXICO,19,CAPULHUAC,12,40,929,3984,602,402,1288,162,1131,5300,204,707,41,12,2,1,104,25,1,11,14906,3,516,15425,25014,
15,MEXICO,20,COACALCO,106,351,21708,24337,8800,3330,5098,2174,3438,71095,3551,4788,671,190,67,36,0,0,0,0,149283,117,5599,154999,223214,
15,MEXICO,21,COATEPEC HARINAS,19,50,3100,4666,523,3948,490,220,337,3767,264,198,29,21,8,10,123,153,16,18,17891,4,746,18641,26702,
15,MEXICO,22,COCOTITLAN,6,17,831,1576,1001,155,562,605,244,3343,124,92,4,4,1,0,36,8,1,7,8594,0,299,8893,11388,
15,MEXICO,23,COYOTEPEC,11,54,3314,3834,416,546,1425,406,827,10389,451,913,133,22,18,2,254,77,9,45,23081,9,650,23740,36152,
15,MEXICO,24,CUAUTITLAN,27,123,7404,11477,1489,1138,1363,928,2298,25845,1253,1594,156,39,18,11,511,102,15,101,55742,43,1475,57260,81448,
15,MEXICO,25,CUAUTITLAN IZCALLI,258,674,64903,39099,5270,5286,11384,5414,8716,118989,5696,8983,1306,260,218,53,2757,571,70,614,279589,193,7539,287321,408508,
15,MEXICO,26,CHALCO,71,356,10414,26299,7843,3608,3433,7125,2239,71556,4927,3110,553,100,107,188,2510,426,161,589,145188,175,4804,150167,239188,
15,MEXICO,27,CHAPA DE MOTA,14,39,5013,3967,183,218,551,160,2427,3230,203,274,62,34,12,2,50,10,1,29,16426,1,698,17125,20760,
15,MEXICO,28,CHAPULTEPEC,2,12,545,1629,111,312,435,107,145,1880,93,401,15,1,1,0,31,13,1,2,5722,1,145,5868,7927,
15,MEXICO,29,CHIAUTLA,12,35,899,4733,224,141,602,209,277,8472,195,182,17,3,2,2,73,20,0,35,16086,5,393,16484,21271,
15,MEXICO,30,CHICOLOAPAN,70,207,4295,20341,6223,1398,2850,988,1642,35735,1637,1719,233,74,37,20,1159,201,37,249,78838,53,2815,81706,129663,
15,MEXICO,31,CHICONCUAC,7,31,758,2478,223,364,661,515,823,7084,243,670,37,2,5,0,168,19,4,28,14082,7,471,14560,19651,
15,MEXICO,32,CHIMALHUACAN,162,683,12207,97710,12283,5502,4757,3187,3847,108795,4477,3187,604,220,71,100,4103,831,115,754,262750,126,8068,270944,451573,
15,MEXICO,33,DONATO GUERRA,16,39,442,6008,5362,283,365,145,383,2759,169,134,0,0,0,0,26,11,1,12,16100,1,1040,17141,23599,
15,MEXICO,34,ECATEPEC,745,2052,76039,151879,44775,18042,30625,11899,17986,387703,17523,13639,2616,1010,341,259,11449,2557,354,2480,791176,440,24522,816138,1248615,
15,MEXICO,35,ECATZINGO,4,12,1137,1458,115,111,57,89,61,1918,45,36,15,7,7,0,26,6,3,8,5099,1,180,5280,6830,
15,MEXICO,36,HUEHUETOCA,51,148,10404,9565,1109,852,4411,877,2343,16124,1059,3809,282,76,30,5,395,53,7,112,51513,22,1737,53272,92773,
15,MEXICO,37,HUEYPOXTLA,16,49,1827,5584,1729,446,304,364,2635,7447,243,219,69,41,7,4,107,64,2,40,21132,3,1024,22159,30394,
15,MEXICO,38,HUIXQUILUCAN,76,289,57429,29617,2983,1670,3313,1496,1973,29061,1634,1102,1141,369,119,23,830,197,39,227,133223,41,3632,136896,187671,
15,MEXICO,39,ISIDRO FABELA,5,13,385,1721,538,116,375,84,422,1816,65,256,14,7,0,4,28,6,1,11,5849,2,205,6056,8054,
15,MEXICO,40,IXTAPALUCA,226,573,14048,68747,10062,4635,4657,3405,2882,94960,4076,4073,456,163,61,65,2255,528,110,538,215721,113,7159,222993,344842,
15,MEXICO,41,IXTAPAN DE LA SAL,19,47,4319,4706,763,470,430,350,335,5399,252,257,95,48,21,6,84,26,5,26,17592,4,881,18477,26407,
15,MEXICO,42,IXTAPAN DEL ORO,5,9,1079,1234,969,56,162,17,43,636,29,31,0,0,0,0,5,3,0,0,4264,0,232,4496,5116,
15,MEXICO,43,IXTLAHUACA,48,172,10720,14223,1448,6736,3837,4263,2307,24995,1350,757,633,86,137,67,582,288,46,143,72618,48,3247,75913,107519,
15,MEXICO,44,XALATLACO,7,30,968,3255,132,393,1980,102,178,4402,144,221,5,6,2,0,87,20,5,23,11923,19,393,12335,18208,
15,MEXICO,45,JALTENCO,14,33,2222,2745,284,166,461,237,331,6267,214,396,60,113,9,4,279,19,2,26,13835,11,352,14198,19670,
15,MEXICO,46,JILOTEPEC,44,116,4078,8792,1241,943,5604,463,7876,15755,641,439,92,42,15,6,354,66,22,112,46541,11,1700,48252,64903,
15,MEXICO,47,JILOTZINGO,10,25,2259,2212,384,155,1556,123,151,2574,138,1003,56,27,5,1,49,13,1,17,10724,2,417,11143,14896,
15,MEXICO,48,JIQUIPILCO,30,90,1973,10934,665,3019,1959,648,855,9927,668,2031,138,18,24,12,778,261,28,82,34020,13,1548,35581,51235,
15,MEXICO,49,JOCOTITLAN,29,86,6972,10764,668,889,556,460,550,11932,533,328,130,54,22,17,232,72,12,57,34248,6,1236,35490,47187,
15,MEXICO,50,JOQUICINGO,5,17,377,1981,82,187,967,48,69,3263,62,484,6,0,3,0,32,13,0,7,7581,9,184,7774,10087,
15,MEXICO,51,JUCHITEPEC,8,27,618,2781,138,189,202,470,163,7488,194,144,6,0,3,2,57,21,8,27,12511,3,339,12853,17550,
15,MEXICO,52,LERMA,48,169,15966,20882,2311,1148,3813,965,1033,26536,1015,1003,310,255,31,7,609,128,19,164,76195,15,1994,78204,105497,
15,MEXICO,53,MALINALCO,16,36,2205,4008,2829,286,257,189,242,3133,117,198,87,75,11,19,37,18,3,12,13726,1,604,14331,19224,
15,MEXICO,54,MELCHOR OCAMPO,16,73,6184,5499,715,655,737,3050,572,13378,520,635,64,15,16,5,250,47,7,61,32410,17,964,33391,49097,
15,MEXICO,55,METEPEC,86,281,29709,30061,2270,6398,4632,1952,2529,45717,2062,3130,423,111,56,25,1072,406,41,200,130794,66,3482,134342,180279,
15,MEXICO,56,MEXICALTZINGO,4,14,450,1458,98,389,224,228,502,2149,114,594,3,1,2,2,23,7,1,7,6252,0,174,6426,9479,
15,MEXICO,57,MORELOS,18,40,1061,5519,220,220,493,4168,243,3384,216,84,122,11,78,29,58,7,2,25,15940,23,742,16705,21739,
15,MEXICO,58,NAUCALPAN,454,1159,121629,77366,8984,8552,12745,6074,7042,161041,9218,7010,2227,540,328,124,5191,1130,189,1021,430411,337,13293,444041,686477,
15,MEXICO,59,NEXTLALPAN,10,41,1346,3526,416,337,764,364,587,8933,1448,574,34,9,3,2,107,27,2,44,18523,7,562,19092,26750,
15,MEXICO,60,NEZAHUALCOYOTL,680,1511,35026,75594,142670,9888,15163,7181,8882,232193,8957,6340,2342,1342,161,412,5371,1450,239,1105,554316,294,16697,571307,865265,
15,MEXICO,61,NICOLAS ROMERO,100,430,37032,32981,4555,4388,5679,2748,4998,76283,3368,4016,829,271,156,43,2315,561,81,495,180799,171,5607,186577,284282,
15,MEXICO,62,NOPALTEPEC,5,13,1494,1465,137,647,601,90,42,1191,48,134,45,26,7,0,21,21,1,4,5974,2,249,6225,7529,
15,MEXICO,63,OCOYOACAC,22,77,3075,11221,1326,551,1882,1446,385,11607,432,1441,92,24,9,6,210,48,5,59,33819,16,999,34834,47899,
15,MEXICO,64,OCUILAN,13,38,1164,3985,2816,270,645,128,1192,4929,137,165,32,75,3,7,75,26,2,37,15688,17,793,16498,20827,
15,MEXICO,65,EL ORO,17,53,3521,4738,334,317,319,312,2336,5163,243,566,72,16,16,12,74,15,5,24,18083,3,735,18821,25978,
15,MEXICO,66,OTUMBA,18,46,2833,4318,641,312,420,168,711,6438,258,718,59,39,13,4,103,37,10,32,17114,18,570,17702,26374,
15,MEXICO,67,OTZOLOAPAN,4,11,155,1296,56,1401,31,10,74,477,5,17,0,0,0,0,4,8,0,0,3534,0,67,3601,4201,
15,MEXICO,68,OTZOLOTEPEC,24,87,3230,7059,1421,1093,1545,666,5100,14816,651,1355,79,41,26,22,311,91,12,92,37610,5,1349,38964,55239,
15,MEXICO,69,OZUMBA,13,34,429,4028,400,307,623,157,993,6123,206,398,12,1,3,0,89,45,1,20,13835,3,450,14288,19836,
15,MEXICO,70,PAPALOTLA,2,6,247,1016,24,48,164,24,34,1310,35,182,1,0,0,0,16,1,2,8,3112,0,49,3161,3877,
15,MEXICO,71,LA PAZ,82,306,6176,32242,11313,3120,5154,1635,2017,51269,2501,1897,292,128,36,85,1530,402,99,344,120240,60,4306,124606,193763,
15,MEXICO,72,POLOTITLAN,10,21,715,2959,101,107,1913,86,578,1602,80,34,8,3,1,0,18,3,2,10,8220,0,352,8572,11640,
15,MEXICO,73,RAYON,4,13,405,2015,104,887,147,263,371,2133,76,235,15,1,0,1,38,35,1,3,6730,5,260,6995,8778,
15,MEXICO,74,SAN ANTONIO LA ISLA,4,25,1842,2688,205,375,1260,127,234,4742,146,384,31,5,1,2,71,11,7,20,12151,1,360,12512,16927,
15,MEXICO,75,SAN FELIPE DEL PROGRESO,43,149,4863,21382,1196,1738,1335,952,1301,22912,1062,620,143,44,24,13,473,178,26,173,58435,33,2848,61316,89327,
15,MEXICO,76,SAN MARTIN DE LAS PIRAMIDES,14,32,3272,3806,331,180,352,193,173,5241,282,295,38,15,3,0,85,14,1,33,14314,8,420,14742,19819,
15,MEXICO,77,SAN MATEO ATENCO,21,95,7080,11510,829,1289,1645,766,1978,17234,778,854,85,35,10,15,331,88,19,90,44636,16,1407,46059,62857,
15,MEXICO,78,SAN SIMON DE GUERRERO,4,9,59,1307,1528,19,88,23,14,968,25,12,0,0,0,0,11,1,1,6,4062,0,148,4210,4938,
15,MEXICO,79,SANTO TOMAS,10,19,479,1749,755,114,606,48,107,1344,36,53,0,0,0,0,6,10,0,6,5313,1,219,5533,7024,
15,MEXICO,80,SOYANIQUILPAN DE JUAREZ,7,19,3520,1615,66,92,328,61,853,1677,68,50,29,12,15,1,20,3,1,8,8419,1,230,8650,10207,
15,MEXICO,81,SULTEPEC,23,40,2124,5735,894,139,120,138,183,3300,66,59,41,52,9,6,41,11,1,9,12928,0,671,13599,19349,
15,MEXICO,82,TECAMAC,157,504,20871,63424,3998,5663,3761,2535,6373,96145,4293,3214,808,127,69,70,2022,511,90,529,214503,183,5779,220465,322728,
15,MEXICO,83,TEJUPILCO,44,104,1649,10166,5988,743,336,355,725,14743,305,367,86,96,8,24,243,168,15,91,36108,16,1523,37647,55886,
15,MEXICO,84,TEMAMATLA,5,16,367,1046,90,94,196,668,1762,1805,135,221,31,3,2,0,34,6,3,9,6472,0,182,6654,9877,
15,MEXICO,85,TEMASCALAPA,15,45,6061,4527,354,381,217,261,203,7459,230,144,169,33,30,4,153,61,5,41,20333,5,621,20959,28256,
15,MEXICO,86,TEMASCALCINGO,34,88,1653,7677,880,612,5459,489,544,14149,746,1156,47,28,2,7,90,39,8,67,33653,28,1423,35104,48037,
15,MEXICO,87,TEMASCALTEPEC,23,47,3503,4279,593,320,2220,182,170,5757,141,88,0,0,0,0,113,53,6,34,17459,12,641,18112,23868,
15,MEXICO,88,TEMOAYA,26,109,4666,8327,1346,2268,3512,2836,1026,16432,811,919,173,35,29,17,550,170,39,125,43281,4,1871,45156,66560,
15,MEXICO,89,TENANCINGO,36,113,5735,10284,849,1343,3113,777,1612,16175,860,2966,105,34,22,8,279,99,15,80,44356,71,1705,46132,69404,
15,MEXICO,90,TENANGO DEL AIRE,5,13,404,1475,121,146,1326,95,65,2435,163,59,3,0,1,0,26,4,2,10,6335,0,199,6534,8305,
15,MEXICO,91,TENANGO DEL VALLE,27,91,2618,6272,3464,4273,982,486,817,16841,643,573,111,64,7,47,468,304,30,67,38067,13,1359,39439,59014,
15,MEXICO,92,TEOLOYUCAN,25,95,5955,7957,1271,644,1486,865,1111,18962,790,552,154,42,22,10,431,100,11,100,40463,16,1267,41746,62655,
15,MEXICO,93,TEOTIHUACAN,23,73,2294,7743,1842,740,1030,318,566,12433,522,2114,66,49,11,8,254,65,15,43,30113,68,1031,31212,44310,
15,MEXICO,94,TEPETLAOXTOC,11,36,1003,3507,291,328,1055,233,397,6705,231,1228,17,4,2,8,89,13,6,28,15145,5,480,15630,21489,
15,MEXICO,95,TEPETLIXPA,8,21,331,1958,242,195,1633,213,121,4218,141,229,28,2,4,2,60,19,5,29,9430,20,377,9827,14030,
15,MEXICO,96,TEPOTZOTLAN,24,90,3869,6001,689,549,3681,5116,1399,15052,762,863,198,18,76,22,278,43,6,86,38708,14,1204,39926,57778,
15,MEXICO,97,TEQUIXQUIAC,13,42,1754,4010,337,251,364,1682,2628,7053,217,196,51,9,11,11,86,15,6,23,18704,2,795,19501,26598,
15,MEXICO,98,TEXCALTITLAN,8,23,575,2507,2216,202,1475,115,228,3092,94,57,0,0,0,0,25,11,6,19,10622,5,462,11089,12979,
15,MEXICO,99,TEXCALYACAC,2,6,146,909,189,44,330,29,162,1062,179,199,1,0,0,0,18,1,0,2,3271,2,129,3402,4139,
15,MEXICO,100,TEXCOCO,80,306,7340,24784,3850,1697,13045,1897,2749,61068,1864,3861,204,57,32,16,1304,276,34,305,124383,61,4135,128579,195151,
15,MEXICO,101,TEZOYUCA,9,44,2541,3268,739,386,967,287,678,8035,320,345,87,32,7,5,242,32,6,50,18027,6,576,18609,29280,
15,MEXICO,102,TIANGUISTENCO,24,86,3131,8990,789,814,5451,422,666,14922,713,706,50,21,9,2,293,81,12,80,37152,18,1291,38461,53495,
15,MEXICO,103,TIMILPAN,11,24,1661,3915,158,133,753,95,151,3192,83,76,15,12,1,0,37,14,1,16,10313,0,296,10609,12912,
15,MEXICO,104,TLALMANALCO,21,63,1228,5836,717,428,644,2270,659,10159,846,848,61,7,10,11,162,45,13,51,23995,10,1010,25015,36705,
15,MEXICO,105,TLALNEPANTLA,380,952,79913,67029,8509,7338,11260,5793,6918,154614,7181,12177,1401,416,221,77,4471,967,123,893,369301,230,11379,380910,562003,
15,MEXICO,106,TLATLAYA,32,57,139,6186,9718,103,77,42,229,2769,38,18,35,58,0,19,13,14,0,7,19465,19,686,20170,25981,
15,MEXICO,107,TOLUCA,304,1012,92245,93805,15586,11447,14638,7541,8301,166712,9397,11709,2200,690,250,99,3999,1004,192,1221,441036,1354,14344,456734,641016,
15,MEXICO,108,TONATICO,9,20,1700,1956,466,103,106,61,67,2473,42,328,26,8,1,4,17,6,1,6,7371,5,284,7660,10474,
15,MEXICO,109,TULTEPEC,30,170,5681,12214,16350,1347,1528,1000,1694,31815,1171,1400,532,152,13,67,695,249,36,178,76122,68,2038,78228,116211,
15,MEXICO,110,TULTITLAN,183,581,24196,34240,14383,5120,7479,7607,10361,110148,5551,6766,982,256,102,103,2529,467,99,512,230901,193,7412,238506,361888,
15,MEXICO,111,VALLE DE BRAVO,28,85,3031,8946,1109,646,1490,491,2002,11661,356,5706,0,0,0,0,291,32,10,40,35811,9,1389,37209,50958,
15,MEXICO,112,VILLA DE ALLENDE,22,59,1150,4194,8034,501,1647,279,366,6507,267,163,0,0,0,0,118,45,12,46,23329,8,1460,24797,33252,
15,MEXICO,113,VILLA DEL CARBON,19,61,4770,5822,256,451,4440,444,1955,4304,230,415,170,30,31,2,77,32,8,24,23461,1,973,24435,32179,
15,MEXICO,114,VILLA GUERRERO,25,70,2407,5798,4012,695,2763,400,1840,6555,432,2027,189,101,18,18,90,56,7,51,27459,14,1307,28780,42422,
15,MEXICO,115,VILLA VICTORIA,44,120,6637,24081,900,1013,1231,377,506,9228,454,1029,0,0,0,0,193,61,22,69,45801,11,1963,47775,65343,
15,MEXICO,116,XONACATLAN,14,63,1871,4680,1656,2475,2063,2347,538,11682,613,903,143,9,8,12,418,43,8,50,29519,5,1289,30813,41550,
15,MEXICO,117,ZACAZONAPAN,2,6,129,709,987,22,24,17,25,969,5,8,0,0,0,0,4,2,1,3,2905,0,116,3021,3545,
15,MEXICO,118,ZACUALPAN,15,25,421,1875,119,193,94,161,1661,2603,56,57,5,1,1,0,11,12,2,7,7279,0,431,7710,10586,
15,MEXICO,119,ZINACANTEPEC,46,197,14454,22732,1633,3839,3315,1177,2202,29167,1418,1275,448,100,67,20,850,318,47,280,83342,62,3257,86661,129935,
15,MEXICO,120,ZUMPAHUACAN,11,23,1988,2483,264,832,104,111,154,2413,79,64,52,35,10,1,51,42,3,7,8693,0,405,9098,11999,
15,MEXICO,121,ZUMPANGO,44,213,10351,17945,1582,1698,1788,1137,6257,39193,1602,1579,213,57,28,8,916,231,35,180,84800,65,2471,87336,142742,
15,MEXICO,122,VALLE DE CHALCO SOLIDARIDAD,114,404,6966,22058,27101,3967,6815,2777,2189,77588,3252,2626,628,303,57,132,2267,555,83,503,159867,150,5884,165901,262331,
15,MEXICO,123,LUVIANOS,27,47,548,7440,3096,162,172,100,104,2549,62,49,41,42,2,10,16,12,1,46,14452,2,957,15411,21979,
15,MEXICO,124,SAN JOSE DEL RINCON,43,112,8086,11139,687,631,3608,611,5676,5180,348,896,154,58,26,7,119,29,8,33,37296,1,2510,39807,64471,
15,MEXICO,125,TONANITLA,3,12,698,1335,144,171,307,146,180,2485,159,113,24,4,5,0,45,7,0,7,5830,1,207,6038,8032,
