ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN ,PRI,PRD,PT,PVEM ,MC,NA,MORENA ,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,16,CIUDAD ADOLFO LOPEZ MATEOS,108,401,36514,22512,3312,3294,16251,2424,3913,66307,3396,4244,771,222,114,34,2066,447,65,427,,166313,165,5121,171599,261776,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D16.pdf
15,MEXICO,17,HUIXQUILUCAN DE DEGOLLADO,105,390,61904,38209,5560,4413,7304,4049,3083,45090,2450,3264,1354,412,132,40,1325,259,49,305,,179202,50,5539,184791,252171,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D17.pdf
15,MEXICO,18,TLALNEPANTLA DE BAZ,215,504,58265,34944,4002,3224,6581,3401,3416,75444,3820,5885,915,233,123,30,1821,404,55,390,,202953,130,5699,208782,292444,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D18.pdf
15,MEXICO,19,SANTA MARIA TULTEPEC 2,87,402,17171,29686,20302,3375,4456,3538,6088,78971,3586,3965,873,229,42,89,1746,472,72,380,,175041,141,4796,179978,266860,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D19.pdf
15,MEXICO,20,ZUMPANGO DE OCAMPO,138,488,27316,39879,4924,3483,7159,5179,14520,75008,3491,6061,646,192,85,33,1572,378,51,399,,190376,124,6580,197080,314021,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D20.pdf
15,MEXICO,21,ECATEPEC DE MORELOS,137,399,13487,26373,13744,3338,8806,2157,3199,72357,2975,2400,523,242,48,63,2072,439,54,461,,152738,88,4723,157549,245660,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D21.pdf
15,MEXICO,22,ECATEPEC DE MORELOS,159,386,13385,28680,6826,3348,4526,2095,3356,71756,3276,2245,437,164,62,36,2191,524,71,509,,143487,72,4570,148129,227649,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D22.pdf
15,MEXICO,23,TEXCOCO DE MORA,110,447,12380,37591,5392,3740,15413,3121,5361,90483,3180,5350,365,99,50,24,2035,412,57,440,,185493,88,6089,191670,287754,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D23.pdf
15,MEXICO,24,CD. NEZAHUALCOYOTL 3,214,480,14935,24906,38871,3255,4817,2504,2986,79832,3184,2334,835,384,66,115,1973,438,57,409,,181901,111,5386,187398,278996,http://www.ieem.org.mx/proceso2018/actas/distrital/CD24_NEZAHUALCOYOTL_JI_31_2018.pdf
15,MEXICO,25,CD. NEZAHUALCOYOTL,244,523,11186,25440,51923,3402,5415,2462,3115,78259,2847,2148,782,515,46,150,1659,541,103,365,,190358,99,5659,196116,296172,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D25.pdf
15,MEXICO,26,CUAUTITLAN IZCALLI,172,447,33450,30348,3876,3524,5818,2838,4551,77485,3438,5706,746,186,103,31,2004,428,54,403,,174989,127,5132,180248,265297,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D26.pdf
15,MEXICO,27,VALLE DE CHALCO SOLIDARIDAD,114,404,6952,22037,27080,3962,6808,2773,2189,77481,3239,2620,628,303,57,132,2267,555,83,503,,159669,150,5880,165699,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D27.pdf
15,MEXICO,28,AMECAMECA DE JUAREZ,170,424,10046,48793,7659,3189,8039,5334,3735,71989,3441,6315,344,83,59,59,1230,317,79,378,,171089,120,6114,177323,256458,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D28.pdf
15,MEXICO,29,NAUCALPAN DE JUAREZ 4,185,476,79379,27485,3015,2538,11132,2037,3109,53218,3690,3865,1127,240,147,71,1468,338,60,270,,193189,143,4872,198204,279938,http://www.ieem.org.mx/proceso2018/actas/distrital/CD29_NAUCALPAN_JI_13_2018.pdf
15,MEXICO,30,NAUCALPAN DE JUAREZ,189,454,34243,30220,3702,3600,5235,2389,2949,66714,3618,2556,827,193,120,60,2455,451,85,389,,159806,92,5240,165138,266941,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D30.pdf
15,MEXICO,31,LOS REYES ACAQUILPAN,113,409,8063,45231,13443,4001,5946,2193,2443,68846,3265,2353,357,164,47,102,2138,549,125,453,,159719,79,5510,165308,260012,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D31.pdf
15,MEXICO,32,NAUCALPAN DE JUAREZ,139,445,38222,31027,3705,3709,4459,2314,2721,69969,3720,3165,764,199,110,43,2159,499,75,504,,167364,148,5652,173164,274625,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D32.pdf
15,MEXICO,33,TECAMAC DE FELIPE VILLANUEVA,157,504,20832,63401,3997,5655,3754,2535,6371,96075,4292,3210,808,127,69,70,2022,511,90,529,,214348,183,5775,220306,322728,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D33.pdf
15,MEXICO,34,TOLUCA DE LERDO,152,447,42122,42752,6705,4751,5691,3316,3794,70286,4192,5559,1120,314,112,43,1564,405,61,445,,193232,107,6407,199746,273938,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D34.pdf
15,MEXICO,35,METEPEC,113,402,37784,44658,3308,8388,6936,3053,5154,66980,3047,4979,526,148,69,42,1457,514,62,299,,187404,83,5208,192695,260542,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D35.pdf
15,MEXICO,36,SAN MIGUEL ZINACANTEPEC,91,384,30997,36554,4688,6005,7446,2375,3570,62400,2970,2863,788,225,106,32,1619,542,93,539,5907,169719,689,5784,176192,253276,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D36.pdf
15,MEXICO,37,TLALNEPANTLA DE BAZ 5,113,394,14984,28097,6327,4186,4646,2283,3316,74525,3208,4514,483,185,93,57,2816,618,75,552,,150965,68,5408,156441,254006,http://www.ieem.org.mx/proceso2018/actas/distrital/CD37_TLALNEPANTLA_JDCL_452_2018.pdf
15,MEXICO,38,COACALCO DE BERRIOZABAL,134,424,24451,28788,10088,4156,6017,3060,4842,85385,4327,5474,760,222,84,45,,,,,,177699,157,6795,184651,268588,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D38.pdf
15,MEXICO,39,ACOLMAN DE NEZAHUALCOYOTL,146,444,23275,49702,6837,6593,7394,2301,3846,78252,3026,6195,574,226,94,41,1548,469,61,396,,190830,133,5608,196571,272235,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D39.pdf
15,MEXICO,40,IXTAPALUCA 6,159,430,10553,52621,7909,3504,3533,2435,1985,70929,2969,3158,354,137,39,44,1656,409,69,394,,162698,92,5300,168090,258523,http://www.ieem.org.mx/proceso2018/actas/distrital/CD40_IXTAPALUCA_JI_32_2018.pdf
15,MEXICO,41,CD. NEZAHUALCOYOTL,222,508,8846,25182,51796,3221,4914,2208,2763,73741,2917,1848,725,443,49,147,1739,471,79,331,,181420,82,5634,187136,290097,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D41.pdf
15,MEXICO,42,ECATEPEC DE MORELOS,159,378,13169,32621,5997,3187,4735,1951,3004,69321,3239,2183,432,137,40,49,2090,450,63,464,,143132,89,4234,147455,218333,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D42.pdf
15,MEXICO,43,CUAUTITLAN IZCALLI,172,432,42574,24305,3037,3352,7503,3585,5767,75092,3644,5913,790,159,153,33,1685,335,43,383,,178353,116,4713,183182,261609,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D43.pdf
15,MEXICO,44,NICOLAS ROMERO,100,430,36986,32920,4547,4388,5679,2748,4998,76283,3368,4016,829,271,156,43,2315,561,81,495,,180684,171,5607,186462,284282,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D44.pdf
15,MEXICO,45,ALMOLOYA DE JUAREZ,107,381,18714,31484,5908,8475,8233,4933,9374,56047,3110,4399,592,180,89,57,1370,472,87,363,,153887,28,6718,160633,236180,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D45.pdf
