Tipo,Seccion,Casilla,NO_DTTO,CABECERA,NMpioIEEP,Municipio,PAN,PRI,PRD,PT,PVEM,CONV,NoReg,Nulos,VOTACIONTOTAL,ListaNominal
Aytos,0947,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,112,157,24,5,0,3,0,7,308,658
Aytos,0948,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,111,134,20,0,3,1,0,10,279,586
Aytos,0948,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,117,104,17,3,3,1,0,7,252,586
Aytos,0948,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,122,130,16,1,2,1,0,14,286,586
Aytos,0949,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,108,136,17,3,7,2,0,2,275,529
Aytos,0949,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,117,105,15,4,4,4,0,6,255,529
Aytos,0950,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,137,138,20,6,6,4,0,4,315,730
Aytos,0950,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,169,132,19,2,5,2,0,10,339,730
Aytos,0951,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,119,125,19,2,4,1,0,6,276,595
Aytos,0951,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,128,143,25,3,4,4,0,10,317,595
Aytos,0951,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,97,134,16,1,3,2,0,8,261,594
Aytos,0952,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,129,146,16,4,4,2,0,16,317,621
Aytos,0952,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,127,154,18,6,2,4,0,8,319,622
Aytos,0953,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,142,195,13,1,7,4,0,7,369,630
Aytos,0953,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,115,182,14,3,3,3,0,6,326,630
Aytos,0954,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,107,142,11,5,2,5,0,4,276,526
Aytos,0954,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,97,169,8,6,5,5,0,9,299,527
Aytos,0955,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,72,116,9,1,4,5,0,5,212,449
Aytos,0955,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,109,101,6,2,3,4,0,4,229,448
Aytos,0956,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,119,137,13,5,2,2,0,7,285,543
Aytos,0956,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,133,21,5,4,3,0,7,309,543
Aytos,0957,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,129,106,9,5,2,4,0,7,262,454
Aytos,0957,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,118,98,13,1,2,6,0,2,240,454
Aytos,0958,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,222,162,8,3,5,0,0,10,410,716
Aytos,0958,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,233,145,8,2,5,3,0,14,410,716
Aytos,0959,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,156,167,13,3,3,6,0,9,357,679
Aytos,0959,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,159,167,16,2,4,6,0,8,362,678
Aytos,0960,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,118,120,16,4,7,1,0,12,278,497
Aytos,0960,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,141,138,10,4,1,2,0,12,308,498
Aytos,0973,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,126,134,26,9,1,4,0,4,304,528
Aytos,0973,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,129,124,15,5,1,4,0,4,282,527
Aytos,0973,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,130,140,9,7,6,4,0,6,302,527
Aytos,0974,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,89,131,11,4,2,0,0,39,276,520
Aytos,0974,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,109,121,13,1,4,3,0,14,265,520
Aytos,0975,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,85,118,8,2,1,1,0,0,215,427
Aytos,0975,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,96,116,5,2,2,2,0,1,224,428
Aytos,0976,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,92,157,22,2,4,1,0,11,289,528
Aytos,0976,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,108,139,21,1,5,4,0,11,289,528
Aytos,0976,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,80,127,25,1,3,3,0,13,252,529
Aytos,0977,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,140,113,27,4,4,4,0,38,330,678
Aytos,0977,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,108,165,18,2,4,6,0,8,311,678
Aytos,0977,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,126,148,25,5,3,4,0,13,324,678
Aytos,0978,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,131,139,19,0,2,1,0,11,303,599
Aytos,0978,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,124,139,25,5,1,2,0,8,304,600
Aytos,0979,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,120,125,20,3,4,1,0,9,282,518
Aytos,0979,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,131,139,14,1,6,1,0,4,296,518
Aytos,0980,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,123,193,20,1,3,1,0,14,355,688
Aytos,0980,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,121,182,12,2,5,5,0,3,330,688
Aytos,0981,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,191,151,12,5,4,4,0,10,377,717
Aytos,0981,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,209,152,20,8,3,2,0,4,398,717
Aytos,0982,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,151,132,10,3,5,4,0,14,319,557
Aytos,0982,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,163,150,11,3,3,6,0,7,343,557
Aytos,0982,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,165,140,16,4,3,5,0,9,342,557
Aytos,0983,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,155,146,18,2,3,4,0,9,337,561
Aytos,0983,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,155,148,8,1,3,3,0,10,328,561
Aytos,0983,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,142,137,16,3,2,2,0,0,302,560
Aytos,0984,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,102,134,4,3,3,2,0,4,252,533
Aytos,0984,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,102,128,11,7,4,6,0,6,264,532
Aytos,0985,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,134,16,1,2,4,0,5,298,479
Aytos,0985,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,112,136,17,2,3,2,0,7,279,478
Aytos,0995,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,118,137,14,4,8,7,0,6,294,485
Aytos,0995,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,113,121,14,5,5,3,0,6,267,485
Aytos,0996,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,174,209,24,1,3,4,0,3,418,709
Aytos,0996,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,161,195,32,3,8,6,0,9,414,710
Aytos,0997,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,153,177,23,2,4,3,0,11,373,725
Aytos,0998,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,124,14,7,2,4,0,4,291,612
Aytos,0998,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,140,131,13,3,2,2,0,10,301,612
Aytos,0999,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,93,106,9,4,2,6,4,0,224,404
Aytos,0999,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,103,107,7,3,4,2,0,0,226,404
Aytos,1000,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,147,127,5,4,4,2,0,6,295,538
Aytos,1000,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,167,108,7,2,5,8,0,8,305,539
Aytos,1000,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,172,126,13,2,3,4,1,9,330,539
Aytos,1001,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,141,115,11,4,7,2,0,6,286,599
Aytos,1001,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,128,21,4,4,7,0,14,314,599
Aytos,1002,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,135,151,9,3,2,2,0,0,302,598
Aytos,1002,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,148,142,8,3,2,0,0,6,309,598
Aytos,1002,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,152,132,21,6,3,5,0,3,322,597
Aytos,1003,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,117,100,11,6,3,1,0,8,246,505
Aytos,1003,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,97,136,10,3,1,0,0,7,254,505
Aytos,1003,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,95,121,8,5,5,6,0,9,249,504
Aytos,1004,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,111,10,3,3,2,0,11,283,569
Aytos,1004,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,113,10,2,5,3,0,9,285,569
Aytos,1004,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,144,145,16,1,7,3,0,4,320,570
Aytos,1005,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,185,152,24,2,8,8,0,7,386,712
Aytos,1005,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,210,150,21,3,7,5,0,8,404,711
Aytos,1006,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,161,143,10,3,5,5,0,9,336,554
Aytos,1006,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,166,124,18,5,2,2,0,4,321,554
Aytos,1007,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,87,162,43,6,2,8,0,12,320,612
Aytos,1007,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,138,129,55,4,0,4,0,5,335,612
Aytos,1008,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,160,146,25,4,5,5,0,11,356,727
Aytos,1008,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,122,157,30,4,4,1,0,10,328,728
Aytos,1008,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,151,146,31,3,2,4,0,10,347,728
Aytos,1009,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,170,165,25,2,2,4,0,11,379,603
Aytos,1009,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,170,147,17,3,2,3,0,8,350,604
Aytos,1010,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,194,132,12,0,6,5,0,6,355,608
Aytos,1010,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,164,138,10,3,3,0,2,0,320,608
Aytos,1010,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,154,141,6,0,5,2,0,5,313,608
Aytos,1011,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,132,173,11,6,5,2,0,10,339,656
Aytos,1011,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,155,12,3,6,2,0,10,331,657
Aytos,1011,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,184,6,3,6,1,0,5,341,657
Aytos,1012,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,97,110,12,3,2,6,0,3,233,391
Aytos,1012,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,88,100,11,4,5,7,0,5,220,391
Aytos,1013,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,143,168,13,8,4,5,0,9,350,531
Aytos,1013,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,197,117,14,7,4,2,0,8,349,531
Aytos,1013,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,186,139,7,4,4,3,0,11,354,531
Aytos,1014,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,96,113,6,2,2,8,0,3,230,392
Aytos,1014,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,93,121,11,2,2,0,0,4,233,393
Aytos,1015,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,137,178,14,3,2,7,0,7,348,671
Aytos,1015,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,154,151,15,4,7,5,0,12,348,670
Aytos,1016,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,119,118,13,6,2,7,0,8,273,481
Aytos,1016,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,139,106,16,3,6,3,0,6,279,482
Aytos,1017,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,128,129,10,0,8,5,0,7,287,508
Aytos,1017,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,120,99,14,3,1,6,0,4,247,508
Aytos,1018,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,125,115,8,1,1,4,0,8,262,529
Aytos,1018,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,106,138,10,5,2,0,0,8,269,530
Aytos,1025,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,120,100,8,5,5,4,0,8,250,519
Aytos,1025,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,107,133,12,2,2,3,0,11,270,518
Aytos,1025,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,109,107,18,7,5,2,0,6,254,518
Aytos,1026,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,162,146,10,3,8,8,0,9,346,742
Aytos,1026,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,154,190,12,5,6,3,0,6,376,742
Aytos,1027,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,122,124,11,2,4,7,0,5,275,524
Aytos,1027,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,128,123,13,7,5,4,0,4,284,524
Aytos,1027,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,130,123,6,3,6,6,0,1,275,524
Aytos,1028,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,167,145,12,2,2,5,0,7,340,686
Aytos,1028,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,183,145,20,6,6,6,0,7,373,685
Aytos,1028,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,166,147,14,7,4,9,0,9,356,685
Aytos,1029,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,93,108,5,0,2,2,0,4,214,388
Aytos,1029,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,83,100,3,0,3,0,0,8,197,388
Aytos,1030,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,183,147,15,1,4,5,0,11,366,655
Aytos,1030,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,172,136,23,9,3,8,0,15,366,656
Aytos,1031,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,89,134,12,2,6,7,0,12,262,545
Aytos,1031,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,134,117,19,2,1,2,0,5,280,545
Aytos,1031,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,103,144,17,2,3,2,0,2,273,545
Aytos,1032,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,150,157,24,5,4,4,0,14,358,664
Aytos,1032,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,154,136,6,3,3,6,0,6,314,664
Aytos,1033,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,100,147,10,2,1,3,0,7,270,573
Aytos,1033,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,96,170,11,3,3,0,0,13,296,573
Aytos,1033,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,98,133,12,2,3,4,0,6,258,572
Aytos,1034,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,127,171,16,4,3,4,0,10,335,606
Aytos,1034,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,130,177,7,2,5,2,0,9,332,606
Aytos,1034,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,145,160,12,5,5,5,0,11,343,605
Aytos,1035,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,138,132,20,3,4,2,0,15,314,591
Aytos,1035,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,144,114,12,1,7,4,0,7,289,591
Aytos,1035,CONTIGUA 3,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,140,150,14,3,3,1,0,8,319,591
Aytos,1035,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,142,141,13,2,3,3,0,4,308,591
Aytos,1043,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,127,191,16,6,6,4,0,5,355,732
Aytos,1043,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,131,175,16,7,5,5,1,8,348,733
Aytos,1044,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,114,107,12,0,2,0,0,7,242,511
Aytos,1044,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,121,121,20,5,6,1,0,10,284,512
Aytos,1044,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,116,105,9,0,6,2,0,3,241,511
Aytos,1045,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,145,169,13,2,3,3,0,13,348,630
Aytos,1045,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,144,199,12,2,6,4,0,0,367,631
Aytos,1046,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,70,149,1,0,2,2,0,7,231,410
Aytos,1046,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,76,126,6,0,2,10,0,5,225,410
Aytos,1047,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,158,124,23,1,3,5,0,8,322,603
Aytos,1047,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,136,156,11,3,2,5,0,9,322,603
Aytos,1047,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,173,142,16,6,7,7,0,10,361,604
Aytos,1048,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,95,132,5,3,3,1,0,11,250,506
Aytos,1049,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,91,141,13,1,4,4,0,10,264,588
Aytos,1049,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,103,144,4,2,4,2,0,9,268,588
Aytos,1049,BASICA,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,103,154,2,1,2,2,0,7,271,587
Aytos,1050,CONTIGUA 1,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,114,208,10,8,5,1,0,0,346,726
Aytos,1050,CONTIGUA 2,1,HEROICA CIUDAD DE PUEBLA DE ZARAGOZA,1,PUEBLA,146,196,9,4,3,4,0,6,368,726
