ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,CI_1,CI_2,CI_3,CI_4,CI_5,CI_6,CI_7,CI_8,CI_9,CI_10,CI_11,CI_12,CI_13,CI_14,CI_15,CI_16,CI_17,CI_18,CI_19,CI_20,CI_21,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION,OBSERVACIONES
9,CIUDAD DE MEXICO,11,VENUSTIANO CARRANZA,208,432,744,367,400,209,335,252,328,284,144,161,110,363,284,176,74,182,167,93,261,282,256,5185,4616,22494,765,584,2476,1885,21701,2402,5450,73030,246518,0.2962,SUP-JIN-25-2016.pdf
9,CIUDAD DE MEXICO,12,CUAUHTEMOC,244,504,790,1282,450,202,480,224,357,312,148,331,648,517,367,258,122,450,110,140,277,486,543,7175,6477,11271,785,487,1143,1833,23492,2247,5370,68774,285554,0.2408,SUP-JIN-5-2016.pdf
9,CIUDAD DE MEXICO,13,IZTACALCO,210,426,766,392,404,157,317,188,252,299,112,184,168,401,261,224,94,206,115,108,272,401,283,5639,5126,21703,999,571,1168,2185,22732,2504,5766,73997,241768,0.3061,
9,CIUDAD DE MEXICO,14,TLALPAN,141,453,595,318,295,162,420,148,259,262,96,172,106,408,262,183,98,185,91,87,302,198,242,4124,3869,17902,2185,545,1042,1529,27678,2228,5808,71799,284624,0.2523,
9,CIUDAD DE MEXICO,15,BENITO JUAREZ,254,602,1338,757,864,348,887,451,960,940,206,1106,407,1028,827,630,242,847,234,275,561,1090,1209,26163,7812,4248,1076,484,1729,2633,25115,2667,5760,92894,356049,0.2609,
9,CIUDAD DE MEXICO,16,ALVARO OBREGON,219,505,814,389,481,201,375,210,330,329,137,213,145,483,289,201,82,197,109,98,317,674,332,6566,5061,35453,1345,852,1268,2290,25260,2526,8793,95820,296879,0.3228,SUP-JIN-9-2016.pdf
9,CIUDAD DE MEXICO,17,ALVARO OBREGON,189,555,725,414,532,206,422,183,594,645,110,237,161,639,342,247,114,214,114,127,233,331,408,9892,9581,22339,1909,829,1257,2366,19921,2601,7149,84842,342325,0.2478,SUP-JIN-15-2016.pdf
9,CIUDAD DE MEXICO,18,IZTAPALAPA,185,434,829,302,310,157,288,129,230,176,123,136,172,318,206,170,86,141,81,95,337,253,231,3725,4850,31777,1131,888,2315,2301,23309,3100,8559,86725,255224,0.3398,SUP-JIN-26-2016.pdf
9,CIUDAD DE MEXICO,19,IZTAPALAPA,164,429,715,326,231,135,285,125,195,157,103,123,148,272,188,109,82,126,80,82,538,215,194,3051,3804,26389,1015,1241,1311,2107,26048,3344,8207,80946,262211,0.3087,SUP-JIN-13-2016.pdf
9,CIUDAD DE MEXICO,20,IZTAPALAPA,234,491,835,395,524,219,501,282,377,373,183,249,199,485,346,256,111,210,143,119,379,387,378,7672,6079,25277,1407,987,1365,2728,27012,4032,7869,91379,273754,0.3338,
9,CIUDAD DE MEXICO,21,XOCHIMILCO,130,449,1150,216,342,135,259,120,200,205,86,121,108,630,217,157,72,140,60,69,182,202,202,3977,7203,9417,1219,587,3427,1552,20119,1753,4280,58407,284292,0.2054,
9,CIUDAD DE MEXICO,22,IZTAPALAPA,152,443,592,461,203,109,244,104,156,147,95,91,133,236,163,70,55,95,61,86,585,137,124,3012,3658,33585,1169,1219,3084,2025,26369,2590,8698,89356,275336,0.3245,
9,CIUDAD DE MEXICO,23,COYOACAN,201,494,686,396,460,211,607,245,457,464,138,356,225,590,424,298,146,481,124,138,341,350,412,8060,5206,35949,973,638,1393,2353,32954,2288,8247,105610,294572,0.3585,SUP-JIN-2-2016 y SUP-JIN-28-2016.pdf
9,CIUDAD DE MEXICO,24,COYOACAN,202,457,838,466,618,274,580,277,490,640,149,408,255,679,521,380,142,443,139,127,358,432,500,13756,6110,25641,915,455,1275,2094,23915,2482,6465,91824,265200,0.3462,SUP-JIN-3-2016.pdf
9,CIUDAD DE MEXICO,25,IZTAPALAPA,174,456,854,277,297,154,330,142,222,270,102,161,93,590,223,176,82,183,92,65,390,305,234,3983,3934,16400,1112,832,1245,1905,24472,2385,5518,67028,277849,0.2412,SUP-JIN-17-2016.pdf
9,CIUDAD DE MEXICO,26,LA MAGDALENA CONTRERAS,259,536,638,410,451,213,450,268,675,660,115,361,250,625,427,315,166,388,272,156,327,324,494,12153,11528,14781,1489,650,1489,1907,21717,2152,6432,82283,299724,0.2745,
9,CIUDAD DE MEXICO,27,TLAHUAC,133,433,1277,225,178,97,253,97,131,109,82,125,87,241,154,176,35,106,68,54,243,169,169,2637,4223,12249,943,566,968,1315,20711,1950,4336,53974,269951,0.1999,
