ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN_PRD_MC,PAN,PRI,PRD,PVEM,PT_MORENA_ES,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,21,EL MANTE,86,163,,19381,13662,627,955,13858,,191,550,,,,,,3824,785,,,,,,,,,,53833,72,1534,55481,86555,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_ELMANTE.pdf
28,TAMAULIPAS,11,GOMEZ FARIAS,7,18,,3318,1436,16,7,425,,8,41,,,,,,,,,,,,,,,,,5251,1,135,5387,7170,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GOMEZFARIAS.pdf
28,TAMAULIPAS,12,GONZALEZ,37,66,,10808,1633,145,237,5822,,102,82,,,,,,,,,,,,,,,,,18829,5,701,19535,31247,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GONZALEZ.pdf
28,TAMAULIPAS,13,GUEMEZ,15,27,3083,,1734,,15,3520,,,886,,,,,,,,,,,,,,,,,9238,20,232,9490,12684,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUEMEZ.pdf
28,TAMAULIPAS,14,GUERRERO,3,6,,542,627,0,490,144,,0,4,,,,,,,,,,,,,,,,,1807,0,47,1854,2617,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUERRERO.pdf
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,2440,,1839,,15,3464,,,27,,,,,,,,,,,,,,,,,7785,0,242,8027,13374,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUSTAVODIAZORDAZ.pdf
28,TAMAULIPAS,16,HIDALGO,21,33,7152,,621,,44,1334,,,23,,,,,,,,,,,,,,,,,9174,0,749,9792,15169,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_HIDALGO.pdf
28,TAMAULIPAS,17,JAUMAVE,12,26,,2007,1487,46,1777,207,,1492,6,,,,1981,,,,,,,,,,,,,9003,2,436,9441,11608,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JAUMAVE.pdf
28,TAMAULIPAS,18,JIMENEZ,8,13,,2227,329,1,6,49,,3,1990,,,,,,,,,,,,,,,,,4605,1,198,4804,6022,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JIMENEZ.pdf
28,TAMAULIPAS,19,LLERA,18,30,3961,,305,,18,326,,,44,,,,,4523,,,,,,,,,,,,9177,0,715,9892,12882,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_LLERA.pdf
28,TAMAULIPAS,20,MAINERO,4,6,1298,,60,,0,27,,,0,,,,,,,,,,,,,,,,,1385,0,121,1507,2148,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MAINERO.pdf
28,TAMAULIPAS,22,MATAMOROS,224,653,68817,,61801,,4471,80843,,,693,,,,,,,,1730,,,,,,,,,218355,129,5785,224269,394634,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MATAMOROS.pdf
28,TAMAULIPAS,23,MENDEZ,6,10,,1518,1233,9,2,455,,6,7,,,,,,,,,,,,,,,,,3230,0,66,3296,4040,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MENDEZ.pdf
28,TAMAULIPAS,24,MIER,6,9,,1771,686,3,1,70,,6,3,,,,,,,,,,,,,,,,,2540,1,85,2626,4359,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIER.pdf
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,3556,,5384,,19,3061,,,30,,,,,,,,,,,,,,,,,12050,11,312,12371,20446,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIGUELALEMAN.pdf
28,TAMAULIPAS,26,MIQUIHUANA,4,6,,1334,520,4,1,33,,527,2,,,,,,,,,,,,,,,,,2421,0,70,2491,2960,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIQUIHUANA.pdf
28,TAMAULIPAS,27,NUEVO LAREDO,206,523,59025,,33099,,4822,49536,,,845,,,,,,,,,6325,3956,,,,,,,157608,968,3998,164293,310391,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOLAREDO.pdf
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,,1342,1130,1,1,,1,2,0,12,49,,,,,,,,,,,,,,,2538,0,81,2619,3102,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOMORELOS.pdf
28,TAMAULIPAS,29,OCAMPO,14,22,,4476,3628,6,4,128,,2,1,,,,,,,,,,,,,,,,,8245,0,235,8480,10570,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_OCAMPO.pdf
28,TAMAULIPAS,30,PADILLA,9,21,,4374,2590,12,4,343,,12,9,,,,,,,,,,,1164,,,,,,8508,1,352,8862,11486,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PADILLA.pdf
28,TAMAULIPAS,31,PALMILLAS,4,5,,571,313,0,2,3,,410,1,,,,,,,,,,,,,,,,,1300,0,24,1324,1704,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PALMILLAS.pdf
28,TAMAULIPAS,32,REYNOSA,400,888,151377,,29455,,1901,100285,,,1608,,,,,,,,,,,,,,,,,284626,91,5462,290176,509333,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_REYNOSA.pdf
28,TAMAULIPAS,33,RIO BRAVO,72,174,19403,,16411,,732,12439,,,222,,,,,,,,,,,,3964,4193,,,,57364,77,1585,58844,102249,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_RIOBRAVO.pdf
28,TAMAULIPAS,34,SAN CARLOS,12,19,1319,,3425,,3,129,,,8,,,,,,,,,,,,,,,,,4884,0,209,5093,7368,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANCARLOS.pdf
28,TAMAULIPAS,35,SAN FERNANDO,52,80,12408,,7838,,43,3596,,,71,,,,,,,,,,,,,,1351,,,25307,34,945,26261,38481,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANFERNANDO.pdf
28,TAMAULIPAS,36,SAN NICOLAS,2,3,,326,606,0,0,3,,0,0,,,,,,,,,,,,,,,,,935,0,6,941,1095,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANNICOLAS.pdf
28,TAMAULIPAS,37,SOTO LA MARINA,24,43,7586,,3621,,0,1535,,,0,,,,,,,,,,,,,,,,,12742,2,515,13259,18742,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SOTOLAMARINA.pdf
28,TAMAULIPAS,38,TAMPICO,192,434,65348,,54561,,2021,36902,,,270,,,,,,,,,,,,,,,,,159102,81,3568,162146,248205,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TAMPICO.pdf
28,TAMAULIPAS,39,TULA,19,42,,4912,4392,3801,59,526,,22,406,,,,,,,,,,,,,,,,,14118,1,815,14934,21451,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TULA.pdf
28,TAMAULIPAS,40,VALLE HERMOSO,46,86,12943,,8847,,163,5885,,,143,,,,,,,,,,,,,,,,,27981,4,761,28716,46712,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VALLEHERMOSO.pdf
28,TAMAULIPAS,41,VICTORIA,149,408,67150,,50963,,2629,30536,,,543,,,,,,,,,,,,,,,7557,2762,162140,89,3244,165668,245077,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VICTORIA.pdf
28,TAMAULIPAS,42,VILLAGRAN,7,13,,3017,158,16,4,132,,5,0,,,,,,,,,,,,,,,,,3332,1,301,3634,4806,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VILLAGRAN.pdf
28,TAMAULIPAS,43,XICOTENCATL,21,36,9798,,1190,,35,2359,,,32,,,,,,,,,,,,,,,,,13414,7,356,13776,18316,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_XICOTENCATL.pdf
