ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,11,GOMEZ FARIAS,7,18,3318,1436,16,7,41,8,41,366,18,,,,,,,,,,,,,,,5251,1,135,5387,7170,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GOMEZFARIAS.pdf
28,TAMAULIPAS,12,GONZALEZ,37,66,10808,1633,145,237,403,102,82,5238,181,,,,,,,,,,,,,,,18829,5,701,19535,31247,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GONZALEZ.pdf
28,TAMAULIPAS,13,GUEMEZ,15,27,2965,1734,43,15,192,75,886,3258,70,,,,,,,,,,,,,,,9238,20,232,9490,12684,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUEMEZ.pdf
28,TAMAULIPAS,14,GUERRERO,3,6,542,627,0,490,19,0,4,32,93,,,,,,,,,,,,,,,1807,0,47,1854,2617,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUERRERO.pdf
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,2381,1839,37,15,93,22,27,715,2656,,,,,,,,,,,,,,,7785,0,242,8027,13374,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_GUSTAVODIAZORDAZ.pdf
28,TAMAULIPAS,16,HIDALGO,21,33,6963,621,96,44,482,93,23,791,61,,,,,,,,,,,,,,,9174,0,749,9792,15169,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_HIDALGO.pdf
28,TAMAULIPAS,17,JAUMAVE,12,26,2007,1487,46,1777,14,1492,6,102,91,,1981,,,,,,,,,,,,,9003,2,436,9441,11608,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JAUMAVE.pdf
28,TAMAULIPAS,18,JIMENEZ,8,13,2227,329,1,6,6,3,1990,41,2,,,,,,,,,,,,,,,4605,1,198,4804,6022,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_JIMENEZ.pdf
28,TAMAULIPAS,19,LLERA,18,30,3821,305,53,18,76,87,44,208,42,,,4523,,,,,,,,,,,,9177,0,715,9892,12882,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_LLERA.pdf
28,TAMAULIPAS,20,MAINERO,4,6,1291,60,1,0,8,6,0,18,1,,,,,,,,,,,,,,,1385,0,121,1507,2148,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MAINERO.pdf
28,TAMAULIPAS,22,MATAMOROS,224,653,63330,51801,2484,4471,5828,3003,693,72655,2360,,,,,,1730,,,,,,,,,208355,129,5785,224269,394634,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MATAMOROS.pdf
28,TAMAULIPAS,23,MENDEZ,6,10,1518,1233,9,2,38,6,7,405,12,,,,,,,,,,,,,,,3230,0,66,3296,4040,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MENDEZ.pdf
28,TAMAULIPAS,24,MIER,6,9,1771,686,3,1,9,6,3,57,4,,,,,,,,,,,,,,,2540,1,85,2626,4359,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIER.pdf
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,3427,5384,75,19,312,52,30,2670,79,,,,,,,,,,,,,,,12048,11,312,12371,20446,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIGUELALEMAN.pdf
28,TAMAULIPAS,26,MIQUIHUANA,4,6,1334,520,4,1,0,527,2,33,0,,,,,,,,,,,,,,,2421,0,70,2491,2960,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_MIQUIHUANA.pdf
28,TAMAULIPAS,27,NUEVO LAREDO,206,523,55868,39099,1493,4822,4104,1664,845,43192,2240,,,,,,,6325,3956,,,,,,,163608,968,3998,164293,310391,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOLAREDO.pdf
28,TAMAULIPAS,28,NUEVO MORELOS,3,5,1342,1130,1,1,1,2,0,12,49,,,,,,,,,,,,,,,2538,0,81,2629,3102,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_NUEVOMORELOS.pdf
28,TAMAULIPAS,29,OCAMPO,14,22,4466,3628,6,4,10,2,1,115,3,,,,,,,,,,,,,,,8235,0,235,8480,10570,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_OCAMPO.pdf
28,TAMAULIPAS,30,PADILLA,9,21,4374,2590,12,4,78,12,9,234,31,,,,,,,,,1164,,,,,,8508,1,352,8862,11486,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PADILLA.pdf
28,TAMAULIPAS,31,PALMILLAS,4,5,571,313,0,2,0,410,1,3,0,,,,,,,,,,,,,,,1300,0,24,1324,1704,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_PALMILLAS.pdf
28,TAMAULIPAS,32,REYNOSA,400,888,143623,29455,3333,1901,7150,4421,1608,89764,3371,,,,,,,,,,,,,,,284626,91,5462,290176,509333,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_REYNOSA.pdf
28,TAMAULIPAS,33,RIO BRAVO,72,174,17577,16411,1020,732,1881,806,222,9493,1065,,,,,,,,,,3964,4193,,,,57364,77,1585,58844,102249,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_RIOBRAVO.pdf
28,TAMAULIPAS,34,SAN CARLOS,12,19,1290,3425,15,3,29,10,8,91,3,,,,,,,,,,,,,,,4874,0,209,5093,7368,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANCARLOS.pdf
28,TAMAULIPAS,35,SAN FERNANDO,52,80,11702,7838,400,43,301,306,71,3125,170,,,,,,,,,,,,1351,,,25307,34,945,26261,38481,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANFERNANDO.pdf
28,TAMAULIPAS,36,SAN NICOLAS,2,3,326,606,0,0,3,0,0,0,0,,,,,,,,,,,,,,,935,0,6,941,1095,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SANNICOLAS.pdf
28,TAMAULIPAS,37,SOTO LA MARINA,24,43,6935,3621,566,20,115,85,19,1379,41,,,,,,,,,,,,,,,12781,2,515,13298,18742,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_SOTOLAMARINA.pdf
28,TAMAULIPAS,38,TAMPICO,192,434,61710,54561,1789,2021,2515,1849,270,32878,1509,,,,,,,,,,,,,,,159102,81,3568,162146,248205,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TAMPICO.pdf
28,TAMAULIPAS,39,TULA,19,42,4912,4392,3801,59,137,22,406,358,31,,,,,,,,,,,,,,,14118,1,815,14934,21451,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_TULA.pdf
28,TAMAULIPAS,40,VALLE HERMOSO,46,86,12476,8847,222,163,713,245,143,4409,763,,,,,,,,,,,,,,,27981,4,761,28716,46712,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VALLEHERMOSO.pdf
28,TAMAULIPAS,41,VICTORIA,149,408,61044,50973,1755,2629,3223,4351,543,25853,1460,,,,,,,,,,,,,7557,2762,162150,89,3244,165668,245077,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VICTORIA.pdf
28,TAMAULIPAS,42,VILLAGRAN,7,13,3017,158,16,4,84,5,0,41,7,,,,,,,,,,,,,,,3332,1,301,3634,4806,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_VILLAGRAN.pdf
28,TAMAULIPAS,43,XICOTENCATL,21,36,9593,1190,117,35,263,88,32,1836,260,,,,,,,,,,,,,,,13414,7,356,13676,18316,http://ietam.org.mx/Portal/documentos/PE2017/Resultados/Ayuntamientos/Actas_Consejos/Comp_XICOTENCATL.pdf
