ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PLC,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
4,CAMPECHE,4,CHAMPOTON,11,HOOL,3,7,917,900,144,59,2,0,41,17,0,24,,,,,2104,0,370,2474,3814,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_HOOL.PDF
4,CAMPECHE,4,CHAMPOTON,12,SEYBAPLAYA,11,23,321,2896,1543,147,17,4,368,3541,6,134,,,,,8977,12,585,9574,12797,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_SEYB.PDF
4,CAMPECHE,4,CHAMPOTON,13,SIHOCHAC,3,6,319,928,56,48,0,0,66,827,0,0,,,,,2244,0,109,2353,3010,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_SIHO.PDF
4,CAMPECHE,4,CHAMPOTON,14,CARRILLO PUERTO,7,9,483,1333,79,40,71,15,74,1246,100,14,,,,,3455,0,209,3664,5043,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_CARR.PDF
4,CAMPECHE,5,HECELCHAKAN,15,POMUCH,6,12,1790,1089,124,40,17,36,82,1205,1099,159,,,,,5641,3,222,5866,7005,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_POMU.PDF
4,CAMPECHE,6,HOPELCHEN,16,BOLONCHEN DE REJON,5,9,860,1409,20,91,45,0,49,700,0,0,,,,,3174,0,98,3272,4340,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_BOLO.PDF
4,CAMPECHE,6,HOPELCHEN,17,DZIBALCHEN,7,11,1547,2023,22,83,129,0,74,117,0,48,,,,,4043,0,189,4232,6325,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_DZIB.PDF
4,CAMPECHE,6,HOPELCHEN,18,UKUM,7,11,1028,1519,26,29,124,0,34,1082,0,9,,,,,3851,0,124,3975,4678,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_UKUM.PDF
4,CAMPECHE,8,TENABO,19,TINUN,3,4,276,527,13,60,0,4,28,354,0,0,,,,,1262,3,32,1297,1459,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_TINU.PDF
4,CAMPECHE,9,ESCARCEGA,20,CENTENARIO,4,7,195,674,781,41,0,27,33,798,0,89,,,,,2638,25,294,2957,4247,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_CENT.PDF
4,CAMPECHE,9,ESCARCEGA,21,DIVISION DEL NORTE,9,14,568,1055,185,118,102,38,70,1571,11,17,,,,,3735,127,386,4248,6325,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_DIVI.PDF
4,CAMPECHE,10,CANDELARIA,22,MIGUEL HIDALGO Y COSTILLA,17,24,1637,2405,102,78,68,25,107,747,20,4,,,,,5193,0,364,5557,7414,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_MIGU.PDF
4,CAMPECHE,10,CANDELARIA,23,MONCLOVA,12,25,1103,1225,52,39,39,27,94,1778,6,3,,,,,4366,0,341,4707,8238,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_MONC.PDF
4,CAMPECHE,11,CALAKMUL,24,CONSTITUCION,4,7,567,797,46,35,29,7,40,557,7,309,,,,,2394,7,208,2609,3621,HTTP://WWW.IEEC.ORG.MX/DOCUMENTACION/PROCESOS/2017-2018/ACTAS/JUNTAS/CIRC_CONS.PDF
