ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PRI,PT,PVEM,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,PAZ,MDZ,PP,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,14,FRANCISCO R. MURGUIA,42,48,5830,,,122,,,585,4920,,29,332,,,,,,,11818,0,377,12195,17409,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A14MR.jpg
32,ZACATECAS,15,EL PLATEADO,5,5,461,,3,3,,,670,,,,,,,,,,,1137,0,33,1170,1635,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A15MR.jpg
32,ZACATECAS,16,PANFILO NATERA,24,35,4636,,,273,,,3531,3483,,,26,,,,,,,11949,0,530,12479,17285,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A16MR.jpg
32,ZACATECAS,17,GUADALUPE,106,224,21384,,2067,1243,,,8158,40834,3439,671,513,,,,,,,78309,24,2049,80382,126679,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A17MR.jpg
32,ZACATECAS,18,HUANUSCO,13,14,774,,69,24,,,796,612,40,,,,,,,,,2315,0,91,2406,3934,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A18MR.jpg
32,ZACATECAS,19,JALPA,34,44,2875,,808,367,,,4366,2676,,141,,,,,,,,11233,2,418,11653,19875,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A19MR.jpg
32,ZACATECAS,20,JEREZ,94,118,8594,,2962,589,,,9764,6174,188,183,151,,,,,275,,28880,8,1014,29902,51256,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A20MR.jpg
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,810,,11,8,,,562,803,188,,,,,,,,,2382,0,83,2465,3282,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A21MR.jpg
32,ZACATECAS,22,JUAN ALDAMA,23,33,2922,,32,227,,,4229,1756,358,6,22,,,286,85,,,9923,0,284,10207,15891,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A22MR.jpg
32,ZACATECAS,23,JUCHIPILA,19,25,881,,111,178,,,2402,2394,320,19,,,,,,,,6305,0,208,6513,10883,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A23MR.jpg
32,ZACATECAS,24,LORETO,31,62,3279,7898,287,225,2665,30,5747,,42,49,46,,,,,,,20238,7,782,21027,33654,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A24MR.jpg
32,ZACATECAS,25,LUIS MOYA,12,17,511,,2060,204,,,2423,809,8,7,279,,,,,,,6301,1,203,6505,9211,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A25MR.jpg
32,ZACATECAS,26,MAZAPIL,49,52,4216,,60,6008,,,297,392,5,,2,,,,,,,10980,2,501,11483,14626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A26MR.jpg
32,ZACATECAS,27,MELCHOR OCAMPO,7,8,255,,,949,,,15,910,,,2,,,,,,,2131,0,38,2169,2499,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A27MR.jpg
32,ZACATECAS,28,MEZQUITAL DEL ORO,7,9,107,,,,,,978,518,0,,,,,,,,,1603,1,44,1648,2360,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A28MR.jpg
32,ZACATECAS,29,MIGUEL AUZA,21,33,3355,,,,,,586,5234,160,,54,,,,,,,9389,1,271,9661,16723,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A29MR.jpg
32,ZACATECAS,30,MOMAX,6,7,575,,,514,,,359,37,5,,,,,,,,,1490,0,43,1533,2343,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A30MR.jpg
32,ZACATECAS,31,MONTE ESCOBEDO,21,23,1601,,1150,692,,,699,301,,206,,,,,,,,4649,0,193,4842,7745,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A31MR.jpg
32,ZACATECAS,32,MORELOS,9,18,1065,,1263,1536,,,665,1312,519,104,135,,,,,,,6599,1,222,6822,9159,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A32MR.jpg
32,ZACATECAS,33,MOYAHUA,10,11,964,,22,,,,1496,137,11,,,,,,,,,2630,0,93,2723,4440,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A33MR.jpg
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,43,58,2264,,192,502,,,4946,5587,,1,2,,,,,,,13494,18,709,14221,24642,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A34MR.jpg
32,ZACATECAS,35,NORIA DE ANGELES,16,23,3608,,1086,97,,,516,1190,50,1338,21,,,,,,,7906,3,332,8241,11322,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A35MR.jpg
32,ZACATECAS,36,OJOCALIENTE,42,62,5132,,2973,382,,,3111,5559,147,25,150,,,,,,,17479,11,559,18049,29423,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A36MR.jpg
32,ZACATECAS,37,PANUCO,14,25,3349,,71,3692,,,415,1208,28,2,6,,,,,,,8771,0,427,9198,12354,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A37MR.jpg
32,ZACATECAS,38,PINOS,95,114,15790,,685,360,,,5351,8359,64,72,1740,,,,,,,32421,23,1260,33704,49548,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A38MR.jpg
32,ZACATECAS,39,RIO GRANDE,63,99,5482,,2858,966,,,11058,5579,315,585,99,,190,,,,,27132,30,1223,28385,49779,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A39MR.jpg
32,ZACATECAS,40,SAIN ALTO,27,35,3422,,,94,,,3527,3855,52,30,,,,,,,,10980,0,383,11363,16473,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A40MR.jpg
32,ZACATECAS,41,EL SALVADOR,6,6,31,,1165,489,,,20,,,,,,,,,,,1705,0,65,1770,2105,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A41MR.jpg
32,ZACATECAS,42,SOMBRERETE,89,112,7017,,934,594,,,6372,6812,4394,45,66,,,,,,,26234,3,1154,27391,46783,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A42MR.jpg
32,ZACATECAS,43,SUSTICACAN,4,4,353,,8,43,,,88,411,,,,,,,,,,903,1,28,932,1289,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A43MR.jpg
32,ZACATECAS,44,TABASCO,21,27,2661,,163,35,,,4118,887,,15,,,,,,,,7879,0,279,8158,12535,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A44MR.jpg
32,ZACATECAS,45,TEPECHITLAN,19,21,1818,,1,79,,,1300,1403,8,,31,,,,,,,4639,0,103,4742,7011,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A45MR.jpg
32,ZACATECAS,46,TEPETONGO,20,20,1855,,1648,30,,,138,125,10,,,,,,,,,3806,0,215,4021,6311,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A46MR.jpg
32,ZACATECAS,47,TEUL DE GONZALEZ,11,13,1046,,738,29,,,695,315,16,,,,,,,,,2839,0,96,2935,4349,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A47MR.jpg
32,ZACATECAS,48,TLALTENANGO,36,48,4398,,149,96,,,5813,1870,92,6,22,,,,,,,12446,3,448,12897,19994,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A48MR.jpg
32,ZACATECAS,49,VALPARAISO,66,74,3688,,3193,174,,,5287,4193,2,131,25,,,,,,,16691,4,566,17261,26866,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A49MR.jpg
32,ZACATECAS,50,VETAGRANDE,8,15,1014,,123,1811,,,155,2611,,55,7,,,,,,,5776,4,156,5936,7667,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A50MR.jpg
32,ZACATECAS,51,VILLA DE COS,47,63,5724,,1733,1339,,,1909,5957,27,19,172,,,,,,,16880,2,593,17475,24913,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A51MR.jpg
32,ZACATECAS,52,VILLA GARCIA,16,25,2923,,670,101,,,2497,2454,363,1,13,,,,,,,9553,4,293,9850,12626,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A52MR.jpg
32,ZACATECAS,53,VILLA GONZALEZ,12,19,2179,,,1309,,,2579,440,,18,9,,,,,,,6534,3,379,6916,9855,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A53MR.jpg
32,ZACATECAS,54,VILLA HIDALGO,24,30,4043,,35,139,,,3743,1669,25,34,12,,,,,,,9700,0,354,10054,13389,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A54MR.jpg
32,ZACATECAS,55,VILLANUEVA,50,60,4521,,122,664,,,6963,3902,36,20,,,,,,,,16228,5,564,16797,25131,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A55MR.jpg
32,ZACATECAS,56,ZACATECAS,111,201,9992,,8618,1230,,,10809,35050,1919,630,481,891,,,,,,69620,101,1881,71602,108518,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A56MR.jpg
32,ZACATECAS,57,TRANCOSO,11,23,4448,,733,101,,,1567,1986,117,26,11,,,,,,,8989,0,297,9286,12919,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A57MR.jpg
32,ZACATECAS,58,SANTA MARIA,7,7,566,,,,,,788,146,2,,7,,,,,,,1509,0,39,1548,2338,http://www.ieez.org.mx/PE2018/SesionComputo_2018/A58MR.jpg
