CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,C_COMUN_PRD_MC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,18,B,1,0,B,6,10,102,4,,6,,129,,,,,,1,2,0,2,3,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,0,16,319,719,Acta casilla,,,http://iem.org.mx/actas/A0018B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,19,B,1,0,B,28,75,110,2,,5,,18,,,,,,3,0,0,0,2,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,0,23,286,507,Acta casilla,,,http://iem.org.mx/actas/A0019B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,20,B,1,0,B,0,46,31,0,,0,,8,,,,,,0,0,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,0,1,87,187,Acta casilla,,,http://iem.org.mx/actas/A0020B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,22,B,1,0,B,3,39,3,3,,2,,24,,,,,,0,0,0,0,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,5,80,193,Acta casilla,,,http://iem.org.mx/actas/A0022B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,23,B,1,0,B,0,45,10,4,,1,,6,,,,,,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0,12,80,163,Acta casilla,,,http://iem.org.mx/actas/A0023B.pdf
5,16,MICHOACAN,21,COALCOMÁN,2,AGUILILLA,25,B,1,0,B,1,12,17,1,,1,,6,,,,,,0,0,0,2,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,0,3,50,106,Acta casilla,,,http://iem.org.mx/actas/A0025B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,26,B,1,0,B,0,117,0,4,68,0,,6,99,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,25,320,531,Grupo de Recuento,,,http://iem.org.mx/actas/A0026B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,26,C,1,0,C01,0,123,0,6,82,0,,9,112,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,0,29,361,530,Grupo de Recuento,,,http://iem.org.mx/actas/A0026C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,26,C,2,0,C02,0,123,0,3,85,0,,4,101,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,17,334,530,Grupo de Recuento,,,http://iem.org.mx/actas/A0026C02.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,26,S,1,0,S01,0,9,0,0,7,0,,0,8,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,5,29,0,Grupo de Recuento,,,http://iem.org.mx/actas/A0026SMR01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,26,S,2,0,S02,0,8,0,0,4,0,,0,9,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,2,23,0,Grupo de Recuento,,,http://iem.org.mx/actas/A0026SMR02.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,27,B,1,0,B,0,115,0,3,76,0,,5,137,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,0,28,364,617,Grupo de Recuento,,,http://iem.org.mx/actas/A0027B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,27,C,1,0,C01,0,133,0,0,79,0,,8,129,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,1,35,385,617,Grupo de Recuento,,,http://iem.org.mx/actas/A0027C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,27,C,2,0,C02,0,144,0,3,81,0,,6,124,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358,0,23,381,616,Grupo de Recuento,,,http://iem.org.mx/actas/A0027C02.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,28,B,1,0,B,0,111,0,2,93,0,,9,219,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0,23,457,691,Grupo de Recuento,,,http://iem.org.mx/actas/A0028B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,28,C,1,0,C01,0,109,0,4,127,0,,7,197,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444,0,22,466,691,Grupo de Recuento,,,http://iem.org.mx/actas/A0028C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,28,C,2,0,C02,0,135,0,2,105,0,,8,212,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462,2,23,487,691,Grupo de Recuento,,,http://iem.org.mx/actas/A0028C02.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,29,B,1,0,B,0,100,0,0,51,0,,8,143,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,0,24,326,522,Grupo de Recuento,,,http://iem.org.mx/actas/A0029B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,29,C,1,0,C01,0,113,0,4,70,0,,6,121,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,2,16,332,521,Grupo de Recuento,,,http://iem.org.mx/actas/A0029C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,30,B,1,0,B,0,122,0,5,45,0,,6,98,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,0,32,308,517,Grupo de Recuento,,,http://iem.org.mx/actas/A0030B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,30,C,1,0,C01,0,110,0,9,70,0,,7,95,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,0,38,329,516,Grupo de Recuento,,,http://iem.org.mx/actas/A0030C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,31,B,1,0,B,0,204,0,11,92,0,,7,111,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,0,34,459,699,Grupo de Recuento,,,http://iem.org.mx/actas/A0031B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,31,C,1,0,C01,0,203,0,10,110,0,,9,110,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,0,30,472,698,Grupo de Recuento,,,http://iem.org.mx/actas/A0031C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,32,B,1,0,B,0,94,0,6,66,0,,3,149,,,,,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322,0,45,367,603,Grupo de Recuento,,,http://iem.org.mx/actas/A0032B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,32,C,1,0,C01,0,111,0,10,57,0,,12,112,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,0,36,338,603,Grupo de Recuento,,,http://iem.org.mx/actas/A0032C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,32,C,2,0,C02,0,89,0,13,49,0,,7,168,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,0,50,376,602,Grupo de Recuento,,,http://iem.org.mx/actas/A0032C02.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,33,B,1,0,B,0,159,0,7,42,0,,16,127,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,0,40,392,591,Grupo de Recuento,,,http://iem.org.mx/actas/A0033B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,33,C,1,0,C01,0,123,0,3,98,0,,5,88,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,0,36,353,590,Grupo de Recuento,,,http://iem.org.mx/actas/A0033C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,34,B,1,0,B,0,131,0,9,97,0,,5,53,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,0,35,330,566,Grupo de Recuento,,,http://iem.org.mx/actas/A0034B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,34,C,1,0,C01,0,154,0,5,86,0,,8,61,,,,,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,0,29,345,566,Grupo de Recuento,,,http://iem.org.mx/actas/A0034C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,35,B,1,0,B,0,106,0,13,30,0,,2,206,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,0,40,397,615,Grupo de Recuento,,,http://iem.org.mx/actas/A0035B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,35,C,1,0,C01,0,162,0,11,20,0,,11,185,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,0,42,431,614,Grupo de Recuento,,,http://iem.org.mx/actas/A0035C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,36,B,1,0,B,0,173,0,4,52,0,,13,137,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,0,40,419,673,Grupo de Recuento,,,http://iem.org.mx/actas/A0036B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,36,C,1,0,C01,0,178,0,3,62,0,,25,106,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,0,45,419,672,Grupo de Recuento,,,http://iem.org.mx/actas/A0036C01.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,37,B,1,0,B,0,86,0,5,25,0,,7,81,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,0,21,225,379,Grupo de Recuento,,,http://iem.org.mx/actas/A0037B.pdf
5,16,MICHOACAN,8,TARIMBARO,3,ÁLVARO OBREGÓN,37,C,1,0,C01,0,62,0,8,29,0,,9,50,,,,,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,0,32,193,379,Grupo de Recuento,,,http://iem.org.mx/actas/A0037C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,B,1,0,B,3,102,124,11,0,1,,40,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,0,15,297,439,Acta casilla,,,http://iem.org.mx/actas/A0038B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,38,C,1,0,C01,3,107,140,3,2,2,,41,,,,,,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,0,11,311,438,Acta casilla,,,http://iem.org.mx/actas/A0038C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,B,1,0,B,8,122,95,3,0,0,,60,,,,,,4,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,0,5,299,424,Grupo de Recuento,,,http://iem.org.mx/actas/A0039B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,39,C,1,0,C01,4,115,107,4,1,0,,60,,,,,,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,1,8,303,423,Grupo de Recuento,,,http://iem.org.mx/actas/A0039C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,B,1,0,B,7,111,207,17,1,5,,95,,,,,,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,2,18,467,691,Acta casilla,,,http://iem.org.mx/actas/A0040B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,40,C,1,0,C01,25,100,218,7,2,2,,79,,,,,,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,0,15,452,691,Acta casilla,,,http://iem.org.mx/actas/A0040C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,B,1,0,B,7,91,196,9,0,4,,101,,,,,,1,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,0,6,421,657,Acta casilla,,,http://iem.org.mx/actas/A0041B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,41,C,1,0,C01,8,75,207,23,0,4,,103,,,,,,0,1,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,0,10,435,657,Acta casilla,,,http://iem.org.mx/actas/A0041C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,B,1,0,B,4,37,115,10,0,3,,41,,,,,,1,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,0,5,221,382,Acta casilla,,,http://iem.org.mx/actas/A0042B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,42,C,1,0,C01,4,35,127,2,1,3,,24,,,,,,0,1,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0,5,205,381,Acta casilla,,,http://iem.org.mx/actas/A0042C01.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,B,1,0,B,8,48,126,8,0,1,,43,,,,,,0,2,0,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,0,9,254,444,Acta casilla,,,http://iem.org.mx/actas/A0043B.pdf
5,16,MICHOACAN,2,PURUÁNDIRO,4,ANGAMACUTIRO,43,C,1,0,C01,9,45,118,10,0,5,,57,,,,,,1,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,0,7,256,444,Acta casilla,,,http://iem.org.mx/actas/A0043C01.pdf
